Author,Year,Title,Journal,Keywords,JEL.Codes,Date.Created,Article.Link
Charles L. Schultze,1996,The CEA: An Inside Voice for Mainstream Economics,Journal of Economic Perspectives ,,E60 N42,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a10_3ay_3a1996_3ai_3a3_3ap_3a23-39.htm
Benjamin M. Friedman,2016,A Century of Growth and Improvement,American Economic Review ,,E23 E32 E65 I31 N11 N12 O33,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a5_3ap_3a52-56.htm
Gabriel P. Mathy,2018,Hysteresis and persistent long-term unemployment: the American Beveridge Curve of the Great Depression and World War II,Cliometrica,"Unemployment, Great Depression, Beveridge Curve, Hysteresis",N12 J60 E32,2018-01-24,https://econpapers.repec.org/article/afccliome/v_3a12_3ay_3a2018_3ai_3a1_3ap_3a127-152.htm
William Easterly,2019,Review of Walter Scheidel's The Great Leveler: Violence and the History of Inequality from the Stone Age to the Twenty-First Century,Journal of Economic Literature ,,D31 D63 D74 F60 N30 N40,2019-12-05,https://econpapers.repec.org/article/aeajeclit/v_3a57_3ay_3a2019_3ai_3a4_3ap_3a955-71.htm
Lino Wehrheim,2019,Economic history goes digital: topic modeling the Journal of Economic History,Cliometrica,"Economic history, Topic models, Latent Dirichlet allocation, Cliometrics, Digitization, Methodology",A12 C18 N01,2019-01-23,https://econpapers.repec.org/article/afccliome/v_3a13_3ay_3a2019_3ai_3a1_3ap_3a83-125.htm
Adomas Klimantas1 and Aras Zirgulis,2020,A new estimate of Lithuanian GDP for 1937: How does interwar Lithuania compare?,Cliometrica,GDP · Interwar · Lithuania · Baltics · Maddison Project · Economic growth · Communism,N14 O1,2020-04-22,https://econpapers.repec.org/article/afccliome/v_3a14_3ay_3a2020_3ai_3a2_3ap_3a227-281.htm
Gabriel P. Mathy,2020,How much did uncertainty shocks matter in the Great Depression?,Cliometrica,Uncertainty shocks · Great Depression · Historical decomposition,D80 E32 N12,2020-04-22,https://econpapers.repec.org/article/afccliome/v_3a14_3ay_3a2020_3ai_3a2_3ap_3a283-323.htm
Adrien Montalbo,2020,Industrial activities and primary schooling in early nineteenth-century France,Cliometrica,Primary instruction · Industrial activities · Nineteenth-century France,N33 N63,2020-04-22,https://econpapers.repec.org/article/afccliome/v_3a14_3ay_3a2020_3ai_3a2_3ap_3a325-365.htm
Douglas W. Allen and Bryan Leonard,2020,How many rushed during the Oklahoma land openings?,Cliometrica,"Homesteading, Land rush, Racing, Oklahoma",N21 N51 N91,2020-04-22,https://econpapers.repec.org/article/afccliome/v_3a14_3ay_3a2020_3ai_3a2_3ap_3a397-416.htm
Kota Ogasawara and Yukitoshi Matsushita,2019,Heterogeneous treatment effects of safe water on infectious disease: Do meteorological factors matter?,Cliometrica,"Climate, Heterogeneous treatment effects, Panel-data analysis, Public health, Semi/nonparametric estimation",C14 I18 Q54 N55,2019-01-23,https://econpapers.repec.org/article/afccliome/v_3a13_3ay_3a2019_3ai_3a1_3ap_3a55-82.htm
Jakub Kast and Lyndon Moore,2010,Wily welfare capitalist: Werner von Siemens and the pension plan,Cliometrica,"Welfare capitalism, Siemens, Productivity",J50 L21 N33 N83,2010-09-05,https://econpapers.repec.org/article/afccliome/v_3a4_3ay_3a2010_3ai_3a3_3ap_3a321-348.htm
Herbert Stein,1996,A Successful Accident: Recollections and Speculations about the CEA,Journal of Economic Perspectives ,,E60 N42,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a10_3ay_3a1996_3ai_3a3_3ap_3a3-21.htm
Sibylle Lehmann-Hasemeyer and Jochen Streb,2016,The Berlin Stock Exchange in Imperial Germany: A Market for New Technology?,American Economic Review ,,G14 G21 G24 G32 N23,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a11_3ap_3a3558-76.htm
Eric Chaney,2018,Medieval Origins: A Review Essay on Campbell's The Great Transition,Journal of Economic Literature ,,I15 J11 J13 N13 N33 Q54,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a2_3ap_3a643-56.htm
Timur Kuran,2018,Islam and Economic Performance: Historical and Contemporary Links,Journal of Economic Literature ,,N25 N45 O43 O53 P51 Z12,2018-12-14,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a4_3ap_3a1292-1359.htm
John Joseph Wallis,2000,American Government Finance in the Long Run: 1790 to 1990,Journal of Economic Perspectives ,,H00 N42 N41,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a14_3ay_3a2000_3ai_3a1_3ap_3a61-82.htm
Jonah Rockoff,2009,Field Experiments in Class Size from the Early Twentieth Century,Journal of Economic Perspectives ,,I21 I28 N32,2012-12-13,https://econpapers.repec.org/article/aeajecper/v_3a23_3ay_3a2009_3ai_3a4_3ap_3a211-30.htm
Kota Ogasawara and Genya Kobayashi,2015,The impact of social workers on infant mortality in inter-war Tokyo: Bayesian dynamic panel quantile regression with endogenous variables,Cliometrica,"Dynamic panel data, Endogenous variable, Infant mortality, Quantile regression, Social worker",C11 C23 H41 I18 J13 N35,2015-01-26,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a1_3ap_3a97-130.htm
Gerard Roland,2021,Review of Ten Thousand Years of Inequality: The Archaeology of Wealth Differences,Journal of Economic Literature ,,D31; D63; N30; O15; Z13,2021-09-10,https://econpapers.repec.org/article/aeajeclit/v_3a59_3ay_3a2021_3ai_3a3_3ap_3a1023-29.htm
Zenonas Norkus and Jurgita Markeviciute,2021,New estimation of the gross domestic product in Baltic countries in 1913–1938,Cliometrica,GDP · Estonia · Latvia · Lithuania · Baltic countries · Economic growth · Economic decline · Export-oriented industrialization · Entrepôt industrial economy · Deindustrialization · Reagrarization,N14; N34,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a3_3ap_3a565-674.htm
Joyce Burnette,2021,Missing work: absenteeism at Pepperell Manufacturing Co. in 1883,Cliometrica,Work intensity · Textile factory · Absence · Weavers · Absenteeism · Days of work,J22; N31,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a3_3ap_3a755-786.htm
Øivind Schøyen,2021,What limits the efficacy of coercion?,Cliometrica,Coercion resentment · Political legitimacy · Identity · Insurrection · Path dependence,D02; D10; D82; N30; N40; P16; Z1,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a2_3ap_3a267-318.htm
Ideen A. Riahi,2022,Why Eurasia? A probe into the origins of global inequalities,Cliometrica,Comparative economic development · Human dispersal · Coevolution · Extinction · Animal domestication,N10; N50; O00; O50; P50; Z10,2022-01-09,https://econpapers.repec.org/article/afccliome/v_3a16_3ay_3a2022_3ai_3a1_3ap_3a105-147.htm
Jeffrey G. Williamson,2016,"Review Essay on British Economic Growth, 1270-1870 by Stephen Broadberry, Bruce M. S. Campbell, Alexander Klein, Mark Overton, and Bas van Leeuwen",Journal of Economic Literature ,,C82; D31; E23; I31; I32; N13; N33,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a54_3ay_3a2016_3ai_3a2_3ap_3a514-21.htm
Tianyi Wang,2021,"Media, Pulpit, and Populist Persuasion: Evidence from Father Coughlin",American Economic Review ,,D72; L82; N32; N42; Z12,2021-08-31,https://econpapers.repec.org/article/aeaaecrev/v_3a111_3ay_3a2021_3ai_3a9_3ap_3a3064-92.htm
David M. Cutler and Edward L. Glaeser,2021,When Innovation Goes Wrong: Technological Regress and the Opioid Epidemic,Journal of Economic Perspectives ,,I12; L65; N31; N32; O31; O33,2021-11-05,https://econpapers.repec.org/article/aeajecper/v_3a35_3ay_3a2021_3ai_3a4_3ap_3a171-96.htm
Carolyn M. Moehling and Melissa A. Thomasson,2020,Votes for Women: An Economic Perspective on Women's Enfranchisement,Journal of Economic Perspectives ,,D72; J16; K10; K16; N42,2020-10-01,https://econpapers.repec.org/article/aeajecper/v_3a34_3ay_3a2020_3ai_3a2_3ap_3a3-23.htm
Jonathan Pritchett and Jessica Hayes,2016,"The occupations of slaves sold in New Orleans: Missing values, cheap talk, or informative advertising?",Cliometrica,Slavery Slave trade Occupations Human capital Advertisements,N31; R23,2016-06-03,https://econpapers.repec.org/article/afccliome/v_3a10_3ay_3a2016_3ai_3a2_3ap_3a181-195.htm
Nina Banks and Warren C. Whatley,2022,"A Nation of Laws, and Race Laws",Journal of Economic Literature ,,J15; K38; N31; N32; N41; N42,2022-06-03,https://econpapers.repec.org/article/aeajeclit/v_3a60_3ay_3a2022_3ai_3a2_3ap_3a427-53.htm
Stanley L. Engerman,2017,"Review of The Business of Slavery and the Rise of American Capitalism, 1815-1860 by Calvin Schermerhorn and The Half Has Never Been Told: Slavery and the Making of American Capitalism by Edward E. Baptist",Journal of Economic Literature ,,J15; N11; N31; N51; P16,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a2_3ap_3a637-43.htm
"William Darity, A. Kirsten Mullen and Marvin Slaughter",2022,The Cumulative Costs of Racism and the Bill for Black Reparations,Journal of Economic Perspectives ,,D31; I12; J15; J31; N31; N32,2022-05-11,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a2_3ap_3a99-122.htm
Toke S. Aidt,2022,Review of Forging the Franchise: The Political Origins of the Women's Vote,Journal of Economic Literature ,,D72; E16; J16; N30; N40,2022-09-03,https://econpapers.repec.org/article/aeajeclit/v_3a60_3ay_3a2022_3ai_3a3_3ap_3a1039-51.htm
Håvard Hegre,2005,Development and the Liberal Peace,Nordic Journal of Political Economy ,,N40; O17,2009-01-30,https://econpapers.repec.org/article/nojjournl/v_3a31_3ay_3a2005_3ap_3a17-46.htm
Yu Xie and Alexandra Killewald,2013,Intergenerational Occupational Mobility in Great Britain and the United States since 1850: Comment,American Economic Review ,,J62; N31; N32; N51; N52,2013-08-08,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a5_3ap_3a2003-20.htm
Michael Hout and Avery M. Guest,2013,Intergenerational Occupational Mobility in Great Britain and the United States since 1850: Comment,American Economic Review ,,J62; N31; N32; N33; N34,2013-08-08,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a5_3ap_3a2021-40.htm
Nina Banks,2022,"Sadie T. M. Alexander: Black Women and a ""Taste of Freedom in the Economic World""",Journal of Economic Perspectives ,,B31; I38; J15; J16; J22; K31; N32,2022-11-08,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a4_3ap_3a205-20.htm
"Pragyanrani Behera, Prajukta Tripathy and Bikash Ranjan Mishra",2021,The Directionality of Outward FDI and Its Determinants - Findings From Asian Emerging Countries,Asian Economics Letters ,"model averaging,asian emerging countries,fdi determinants",F21; L72; N25,2022-12-08,https://econpapers.repec.org/article/aybjrnael/54.htm
Ting Zeng and Qian Cao,2022,Estimation of Life Insurance Asset Value From Household Survey,Asian Economics Letters ,"life insurance asset value,Net level premium reserve,Mortality estimation,Household wealth inequality",D31; G22; N3,2022-12-08,https://econpapers.repec.org/article/aybjrnael/59.htm
Bayu Adi Nugroho,2022,Asia-Pacific Islamic Stocks and Gold - A Markov-switching Copula Estimation,Asian Economics Letters ,"Stock,Gold,Islamic",C13; E51; N3,2022-12-08,https://econpapers.repec.org/article/aybjrnael/62.htm
"S. Irudaya Rajan, T. M. Sivadasan, Reddy Sai, Shiva Jayanth and Pooja Batra",2022,Household Pandemic Response - The Socioeconomic Impact of COVID-19 on Migrant Households in India,Asian Economics Letters ,"kerala,international migration,internal migration,covid-19",I10; N15; R23,2022-12-08,https://econpapers.repec.org/article/aybjrnael/65.htm
"Muhamad Rias K V Zainuddin, Nurul Aishah Khairuddin and Hakimah Nur Ahmad Hamidi",2022,Impact of COVID-19 on Malaysiaâ€™s Bilateral Export - Testing for Heterogeneous Effects in the Product Category,Asian Economics Letters ,"malaysia,export,covid-19",F14; I10; N15,2022-12-08,https://econpapers.repec.org/article/aybjrnael/68.htm
C. T. Vidya,2022,Has Covid-19 Shaken the World Trade and Chinaâ€™s Preeminence?,Asian Economics Letters ,"china, world trade network",F14; I10; N15,2022-12-08,https://econpapers.repec.org/article/aybjrnael/70.htm
Keith Meyers and Melissa A. Thomasson,2021,Can pandemics affect educational attainment? Evidence from the polio epidemic of 1916,Cliometrica,Epidemics · Polio · Schooling disruption · Educational attainment,I18; I26; N22; N3,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a2_3ap_3a231-265.htm
"Camilo García-Jimeno, Angel Iglesias and Pinar Yildirim",2022,Information Networks and Collective Action: Evidence from the Women's Temperance Crusade,American Economic Review ,,D83; J16; L92; L96; N31; N41; N71,2021-12-29,https://econpapers.repec.org/article/aeaaecrev/v_3a112_3ay_3a2022_3ai_3a1_3ap_3a41-80.htm
Christopher David Absell,2023,British slave emancipation and the demand for Brazilian sugar,Cliometrica,British slave emancipation · Sugar · Brazil · Nineteenth century,F13; N76; Q02,2023-01-21,https://econpapers.repec.org/article/afccliome/v_3a17_3ay_3a2023_3ai_3a1_3ap_3a125-154.htm
Arthur Korteweg and Berk Sensoy,2023,How Unique Is VC's American History?,Journal of Economic Literature ,,G24; M13; N20; O16; O31,2023-03-04,https://econpapers.repec.org/article/aeajeclit/v_3a61_3ay_3a2023_3ai_3a1_3ap_3a274-94.htm
Pim de Zwart,2022,Inequality in late colonial Indonesia: new evidence on regional differences,Cliometrica,Southeast Asia · Inequality · Colonialism · Globalization,F6; I3; N3; N5; N7,2022-01-09,https://econpapers.repec.org/article/afccliome/v_3a16_3ay_3a2022_3ai_3a1_3ap_3a175-211.htm
Patrice Baubeau and Bernard Cazelles,2009,French economic cycles: a wavelet analysis of French retrospective GNP series,Cliometrica,"Wavelets, Data estimation methodology, Macroeconomics",C4; E01; E32; E51; E58; N01; N13; N24,2010-09-05,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a3_3ap_3a275-300.htm
"Kota Ogasawara, Shinichiro Shirota and Genya Kobayashi",2018,Public health improvements and mortality in interwar Tokyo: a Bayesian disease mapping approach,Cliometrica,"Bayesian disease mapping, Public health, Modern water supply system, Mortality rates",C11; C21; I18; N35,2018-01-24,https://econpapers.repec.org/article/afccliome/v_3a12_3ay_3a2018_3ai_3a1_3ap_3a1-31.htm
"Charles Angelucci, Simone Meraglia and Nico Voigtländer",2022,How Merchant Towns Shaped Parliaments: From the Norman Conquest of England to the Great Reform Act,American Economic Review ,,D02; D72; D73; K11; K34; N43; N93,2022-09-30,https://econpapers.repec.org/article/aeaaecrev/v_3a112_3ay_3a2022_3ai_3a10_3ap_3a3441-87.htm
Yuya Takahashi,2015,Estimating a War of Attrition: The Case of the US Movie Theater Industry,American Economic Review ,,D92; L11; L82; N72,2015-11-03,https://econpapers.repec.org/article/aeaaecrev/v_3a105_3ay_3a2015_3ai_3a7_3ap_3a2204-41.htm
Roger B. Myerson,2023,Game Theory and the First World War,Journal of Economic Literature ,,C70; D74; D83; F51; N40,2023-06-06,https://econpapers.repec.org/article/aeajeclit/v_3a61_3ay_3a2023_3ai_3a2_3ap_3a716-35.htm
Þórólfur Matthíasson,2015,"Six myths and few facts, Recovery of the Icelandic economy post October 2008",Nordic Journal of Political Economy ,,E32; N14; N24,2016-11-10,https://econpapers.repec.org/article/nojjournl/v_3a40_3ay_3a2015_3ap_3a1.htm
Jean-Philippe Platteau,2009,Political Instrumentalization of Religion: The Case of Islam,Nordic Journal of Political Economy ,"religion, political manipulation, ideology, Islam, fundamentalism",N45; O17; P48,2010-03-27,https://econpapers.repec.org/article/nojjournl/v_3a35_3ay_3a2009_3ap_3a3.htm
Eugene White,2007,The Crash of 1882 and the Bailout of the Paris Bourse,Cliometrica,"Stock market crash, Microstructure, Mutualization of risk, Bailout",E58; G18; N23,2008-02-09,https://econpapers.repec.org/article/afccliome/v_3a1_3ay_3a2007_3ai_3a2_3ap_3a115-144.htm
Angus Maddison,2007,Fluctuations in the momentum of growth within the capitalist epoch,Cliometrica,"Business cycles, Long waves, Economic growth",C82; E01; N10,2008-02-09,https://econpapers.repec.org/article/afccliome/v_3a1_3ay_3a2007_3ai_3a2_3ap_3a145-175.htm
Hans Heinemeyer,2007,The treatment effect of borders on trade. The great war and the disintegration of Central Europe,Cliometrica,"Border effects, Treatment effect, First World War, Central Europe",C21; F11; F14; F15; N74,2008-02-15,https://econpapers.repec.org/article/afccliome/v_3a1_3ay_3a2007_3ai_3a3_3ap_3a177-210.htm
Andrew Seltzer,2007,The effects of mid-career military enlistment on civilian career prospects: evidence from the Australian banking industry during World War II,Cliometrica,"Career interruptions, Compensation, Australia, World War II, Discrimination",J3; J7; N3,2008-02-15,https://econpapers.repec.org/article/afccliome/v_3a1_3ay_3a2007_3ai_3a3_3ap_3a239-261.htm
Richard Burdekin and Leroy O. Laney,2008,"Financial market reactions to the overthrow and annexation of the Hawaiian Kingdom: evidence from London, Honolulu and New York",Cliometrica,"Hawaii, Debt, Annexation, Sugar, Turning points",N11; N21,2008-05-31,https://econpapers.repec.org/article/afccliome/v_3a2_3ay_3a2008_3ai_3a2_3ap_3a119-141.htm
Livio Di Matteo,2008,"Wealth accumulation motives: evidence from the probate records of Ontario, 1892 and 1902",Cliometrica,"Wealth, Bequests, Probate, Microdata",H; N,2008-05-31,https://econpapers.repec.org/article/afccliome/v_3a2_3ay_3a2008_3ai_3a2_3ap_3a143-171.htm
Brandon Dupont,2009,Panic in the plains: agricultural markets and the panic of 1893,Cliometrica,"Bank panic, Agricultural markets, Panic of 1893",N11; N21; N51,2008-11-20,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a1_3ap_3a27-54.htm
Jonas Ljungberg and Anders Nilsson,2009,Human capital and economic growth: Sweden 1870–2000,Cliometrica,"Human capital, Education, Economic growth, Productivity, Vocational education",E01; I20; J24; N33; N34; O40,2008-11-20,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a1_3ap_3a71-95.htm
Marcel Timmer and Gaaitzen de Vries,2009,Structural change and growth accelerations in Asia and Latin America: a new sectoral data set,Cliometrica,"Structural change, Shift-share analysis, Growth accelerations, Sectoral database",C80; N10; O10,2009-04-30,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a2_3ap_3a165-190.htm
"C. Betrán, Javier Ferri and Maria A. Pons",2010,"Explaining UK wage inequality in the past globalisation period, 1880–1913",Cliometrica,"Wage inequality, Globalisation, Technological change, General equilibrium",C68; J31; N30,2009-11-25,https://econpapers.repec.org/article/afccliome/v_3a4_3ay_3a2010_3ai_3a1_3ap_3a19-50.htm
Ann Carlos,2010,Reflection on reflections: review essay on reflections on the cliometric revolution: conversations with economic historians,Cliometrica,"Development of the disciplin, Historical, Historiography",B25; B41; N01,2009-11-25,https://econpapers.repec.org/article/afccliome/v_3a4_3ay_3a2010_3ai_3a1_3ap_3a97-111.htm
Andrew Seltzer and Andre Sammartino,2011,"Nominal wage rigidity prior to compulsory arbitration: evidence from the Victorian Railways, 1902–1921",Cliometrica,"Downwards nominal wage rigidity, Internal labour markets, Victorian Railways, Australia",J31; J41; N37,2011-01-16,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a1_3ap_3a53-78.htm
Olivier Darné and Amelie Charles,2011,Large shocks in U.S. macroeconomic time series: 1860-1988,Cliometrica,"Macroeconomic time series, Large shocks, Outliers",C22; N1,2011-01-16,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a1_3ap_3a79-100.htm
Péter Földvári and Bas van Leeuwen,2011,What can price volatility tell us about market efficiency? Conditional heteroscedasticity in historical commodity price series,Cliometrica,"Market efficiency, Conditional heteroscedasticity, Price volatility, Time-series analysis",C22; N73,2011-05-17,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a2_3ap_3a165-186.htm
