publication.year,source.title,eh,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,top1keyword,top2keyword,top3keyword,n_keywords,keyword_entropy,funders,top1funder,top2funder,top3funder,n_funding,n_econometric_margo,n_econometric_other,country,continent,new_keywords
2022,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,2,NA,0,0,NA,0,OCCUPATIONAL-MOBILITY;  ECONOMIC OUTCOMES;  SELF-SELECTION;  2ND-GENERATION;  ASSIMILATION;  DECOLONIZATION;  COLONIALISM;  NETWORKS;  EARNINGS;  SOCIETY,2ND-GENERATION,ASSIMILATION,COLONIALISM,10,-0,,None,None,None,0,0,0,Algeria,Africa,0
2017,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Angola,Africa,0
2022,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,2,NA,0,0,NA,0,ORIGINS;  HISTORY;  GROWTH;  EUROPE;  SKILLS;  TRADE;  AGE,AGE,EUROPE,GROWTH,7,-0,,None,None,None,0,0,0,Angola,Africa,0
2023,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,2,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Angola,Africa,0
1999,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,1
1999,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,1
2000,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2000,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1.5,0.7071067811865476,4,2,2.8284271247461903,4,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2001,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2002,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2002,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,6,6,NA,6,FINANCIAL REPRESSION;  EFFICIENT TESTS;  BALANCE;  MODEL,BALANCE,EFFICIENT TESTS,MODEL,4,-0,,None,None,None,0,0,0,Argentina,S. America,3
2003,ECONOMIC HISTORY REVIEW,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2003,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2004,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,37,37,NA,37,LIVING STANDARDS;  UNITED-KINGDOM;  HEIGHT;  POPULATION;  IMPACT,HEIGHT,IMPACT,POPULATION,5,-0,,None,None,None,0,0,1,Argentina,S. America,0
2004,SOCIAL SCIENCE HISTORY,1,1,1,NA,17,17,NA,17,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2005,ECONOMIC HISTORY REVIEW,1,2,2,1.4142135623730951,67,33.5,47.37615433949868,67,MORTALITY;  INDEX,INDEX,MORTALITY,None,2,-0,,None,None,None,0,0,1,Argentina,S. America,1
2005,EXPLORATIONS IN ECONOMIC HISTORY,1,2,1,0,22,11,15.556349186104045,22,UNIT-ROOT HYPOTHESIS;  OIL-PRICE SHOCK;  ECONOMIC-GROWTH;  GREAT CRASH;  TIME-SERIES;  TREND;  TESTS;  MODELS;  BREAKS,BREAKS,ECONOMIC-GROWTH,GREAT CRASH,9,-0,,None,None,None,0,0,1,Argentina,S. America,5
2005,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2006,ECONOMIC HISTORY REVIEW,1,2,1,0,11,5.5,7.7781745930520225,11,INVESTMENTS,INVESTMENTS,None,None,1,-0,,None,None,None,0,0,0,Argentina,S. America,1
2007,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2008,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,2,NA,1,1,NA,1,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2009,CLIOMETRICA,1,1,2,NA,23,23,NA,23,GROWTH;  INVESTMENT;  INEQUALITY;  WORLD,INEQUALITY,INVESTMENT,WORLD,4,-0,,None,None,None,0,0,0,Argentina,S. America,0
2009,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,12,12,NA,12,ECONOMY,ECONOMY,None,None,1,-0,,None,None,None,0,0,0,Argentina,S. America,0
2010,ECONOMIC HISTORY REVIEW,1,1,1,NA,11,11,NA,11,BRITISH EXPANSION OVERSEAS;  GENTLEMANLY CAPITALISM;  IMPERIALISM;  EMPIRE;  ARGENTINA;  CITY,ARGENTINA,CITY,EMPIRE,6,-0,,None,None,None,0,0,0,Argentina,S. America,2
2010,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,22,22,NA,22,DEMOCRACY;  INSTITUTIONS;  EVOLUTION,EVOLUTION,INSTITUTIONS,DEMOCRACY,3,-0,,None,None,None,0,0,0,Argentina,S. America,0
2010,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2011,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,2,1,1.4142135623730951,2,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2012,ECONOMIC HISTORY REVIEW,1,1,3,NA,29,29,NA,29,PRIMARY-EDUCATION;  TRENDS;  LITERACY;  POPULATION;  EXPANSION;  BRAZIL;  PERU,BRAZIL,EXPANSION,LITERACY,7,-0,,None,None,None,0,1,1,Argentina,S. America,2
2012,EXPLORATIONS IN ECONOMIC HISTORY,1,1,3,NA,79,79,NA,79,RURAL WORKERS;  POPULATION;  OPPRESSION;  STANDARDS;  PEONAGE;  MEXICO;  PRICES,MEXICO,OPPRESSION,PEONAGE,7,-0,,None,None,None,0,0,1,Argentina,S. America,3
2012,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2013,ECONOMIC HISTORY REVIEW,1,1,1,NA,13,13,NA,13,LABOR-MARKETS;  BUENOS-AIRES;  GLOBALIZATION;  POLITICS;  INEQUALITY;  ELECTIONS;  DECLINE;  UNREST,BUENOS-AIRES,DECLINE,ELECTIONS,8,-0,,None,None,None,0,0,0,Argentina,S. America,2
2013,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2013,REVIEW OF ECONOMICS AND STATISTICS,0,1,3,NA,61,61,NA,61,RESTRICTIVENESS,RESTRICTIVENESS,None,None,1,-0,,None,None,None,0,0,0,Argentina,S. America,1
2014,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2015,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2016,ECONOMIC HISTORY REVIEW,1,2,1,0,25,12.5,17.67766952966369,25,GROWTH;  POLICY;  ARGENTINA;  QUALITY;  EUROPE,ARGENTINA,EUROPE,POLICY,5,-0,,None,None,None,0,0,0,Argentina,S. America,0
2017,ECONOMIC HISTORY REVIEW,1,1,1,NA,10,10,NA,10,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2017,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2017,SOCIAL SCIENCE HISTORY,1,2,1,0,5,2.5,3.5355339059327378,5,ITALIAN IMMIGRANTS; ELECTORAL GOVERNANCE;  UNITED-STATES;  DEMOCRATIZATION;  DEMOCRACY;  PARTIES;  CORRUPTION;  ARGENTINA;  QUALITY;  SYSTEMS;  EUROPE,ARGENTINA,CORRUPTION,DEMOCRACY,11,-0,,None,None,None,0,0,2,Argentina,S. America,1
2018,CLIOMETRICA,1,1,2,NA,8,8,NA,8,UNITED-STATES;  OCCUPATIONAL CHOICE;  LABOR-MARKET;  NETWORKS;  MIGRATION;  INCOME;  MIGRANTS;  OUTCOMES;  SKILL;  WAGES,INCOME,LABOR-MARKET,MIGRANTS,10,-0,,None,None,None,0,0,0,Argentina,S. America,1
2018,ECONOMIC HISTORY REVIEW,1,1,3,NA,4,4,NA,4,LATIN-AMERICA;  1ST WAVE;  ARGENTINA;  ACCURACY;  GLOBALIZATION;  GRAVITY;  GROWTH;  COSTS,1ST WAVE,ACCURACY,ARGENTINA,8,-0,,None,None,None,0,0,0,Argentina,S. America,1
2018,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,2,NA,5,5,NA,5,ECONOMIC-GROWTH;  SPANISH-AMERICA;  MODERN WORLD;  INSTITUTIONS;  19TH-CENTURY;  INDEPENDENCE;  PERFORMANCE;  AFRICA;  MARKET,19TH-CENTURY,AFRICA,INDEPENDENCE,9,-0,,None,None,None,0,0,1,Argentina,S. America,2
2018,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,2,1.4142135623730951,2,1,1.4142135623730951,2,INEQUALITY;  GDP,GDP,INEQUALITY,None,2,-0,,None,None,None,0,0,0,Argentina,S. America,0
2019,CLIOMETRICA,1,1,2,NA,13,13,NA,13,INTERNATIONAL-TRADE;  GRAVITY EQUATION;  MONOPOLISTIC COMPETITION;  LATIN-AMERICA;  GROWTH;  MARKET,GRAVITY EQUATION,GROWTH,LATIN-AMERICA,6,-0,,None,None,None,0,0,0,Argentina,S. America,1
2019,ECONOMIC HISTORY REVIEW,1,2,1,0,21,10.5,14.849242404917497,21,ECONOMIC OUTCOMES;  INTERNATIONAL MIGRATION;  ITALIAN IMMIGRANTS;  SELF-SELECTION;  LABOR-MARKETS;  UNITED-STATES;  SAO-PAULO;  19TH-CENTURY;  ARGENTINA;  BRAZIL,19TH-CENTURY,ARGENTINA,BRAZIL,10,-0,,None,None,None,0,0,0,Argentina,S. America,1
2019,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2020,ECONOMICS LETTERS,0,1,2,NA,1,1,NA,1,AGGREGATE DEMAND;  ARGENTINA,ARGENTINA,AGGREGATE DEMAND,None,2,-0,,None,None,None,0,0,1,Argentina,S. America,1
2021,CLIOMETRICA,1,1,6,NA,17,17,NA,17,PHYSICAL STATURE;  ANTHROPOMETRIC HISTORY;  LIVING STANDARDS;  MEXICO;  TRENDS;  INEQUALITY;  ARGENTINA;  MILITARY;  COLOMBIA;  TALL,ANTHROPOMETRIC HISTORY,ARGENTINA,COLOMBIA,10,-0,,None,None,None,0,0,0,Argentina,S. America,1
2021,ECONOMIC HISTORY REVIEW,1,2,2.5,0.7071067811865476,5,5,NA,5,LONG-TERM TRENDS;  ECONOMIC-INEQUALITY;  INCOME INEQUALITY;  FACTOR ENDOWMENTS;  WEALTH;  INSTITUTIONS;  GEOGRAPHY;  GROWTH;  HINTERLAND;  ARGENTINA,ARGENTINA,ECONOMIC-INEQUALITY,FACTOR ENDOWMENTS,10,-0,,None,None,None,0,0,0,Argentina,S. America,1
2021,EUROPEAN JOURNAL OF POLITICAL ECONOMY,0,1,2,NA,1,1,NA,1,POLITICAL-ECONOMY;  AGGREGATE DEMAND;  EMPLOYMENT,AGGREGATE DEMAND,EMPLOYMENT,POLITICAL-ECONOMY,3,-0,,None,None,None,0,0,0,Argentina,S. America,0
2022,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Argentina,S. America,0
2024,ECONOMIC HISTORY REVIEW,1,1,3,NA,0,0,NA,0,GREAT DIVERGENCE;  SOCIAL SAVINGS;  LED GROWTH;  RAILROADS;  TECHNOLOGY;  ECONOMY;  CONVERGENCE;  EFFICIENCY;  MARKETS;  IMPACT,CONVERGENCE,ECONOMY,EFFICIENCY,10,-0,,None,None,None,0,0,1,Argentina,S. America,0
2005,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Armenia,Asia,0
2006,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,12,12,NA,12,,None,None,None,0,-0,,None,None,None,0,0,0,Armenia,Asia,0
2017,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,2,NA,15,15,NA,15,CHILD-MORTALITY;  INFANT,INFANT,CHILD-MORTALITY,None,2,-0,,None,None,None,0,0,0,Armenia,Asia,0
2019,EUROPEAN ECONOMIC REVIEW,0,1,2,NA,3,3,NA,3,PARTISAN CUES;  IDEOLOGY;  VOTERS,IDEOLOGY,VOTERS,PARTISAN CUES,3,-0,,None,None,None,0,0,0,Armenia,Asia,2
2022,SOCIAL SCIENCE HISTORY,1,1,1,NA,1,1,NA,1,CHRISTIAN MISSIONARIES;  COLONIAL INSTITUTIONS;  FEMALE EDUCATION;  CONSEQUENCES;  MOBILIZATION;  INVESTMENTS;  COMPETITION;  PROSPERITY;  MATTERS,COLONIAL INSTITUTIONS,COMPETITION,CONSEQUENCES,9,-0,,None,None,None,0,0,1,Armenia,Asia,4
2023,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,Polish National Science Center [2018/31/D/HS3/03124],Polish National Science Center [2018/31/D/HS3/03124],None,None,1,0,0,Armenia,Asia,0
1999,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,8,8,NA,8,INNOVATIVE ACTIVITIES;  STATISTICS;  INDICATORS;  INVENTION;  RIGHTS;  IDEAS,IDEAS,INDICATORS,INVENTION,6,-0,,None,None,None,0,0,0,Australia,Australia,6
1999,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,6,6,NA,6,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,1
2000,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2000,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2001,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2001,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,1,NA,70,70,NA,70,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2001,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,19,19,NA,19,FIRM;  WORK,WORK,FIRM,None,2,-0,,None,None,None,0,0,0,Australia,Australia,1
2001,HISTORICAL METHODS,1,1,1,NA,7,7,NA,7,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2001,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,7,7,NA,7,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2002,ECONOMIC HISTORY REVIEW,1,4,1.25,0.5,11,2.75,5.5,11,GREAT-DEPRESSION,GREAT-DEPRESSION,None,None,1,-0,,None,None,None,0,0,0,Australia,Australia,1
2002,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,49,49,NA,49,LOCK-IN;  COMPETITION;  ECONOMICS,COMPETITION,ECONOMICS,LOCK-IN,3,-0,,None,None,None,0,0,0,Australia,Australia,1
2003,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2003,SOCIAL SCIENCE HISTORY,1,1,1,NA,0,0,NA,0,ECONOMIC-CONDITIONS;  PRESIDENTS PARTY,PRESIDENTS PARTY,ECONOMIC-CONDITIONS,None,2,-0,,None,None,None,0,0,1,Australia,Australia,1
2004,ECONOMIC HISTORY REVIEW,1,1,1,NA,16,16,NA,16,UNION-BANK;  REAL WAGES;  AUSTRALIA;  SALARIES;  BRITAIN;  TRENDS,AUSTRALIA,BRITAIN,REAL WAGES,6,-0,,None,None,None,0,0,0,Australia,Australia,3
2004,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2004,SOCIAL SCIENCE HISTORY,1,1,1,NA,14,14,NA,14,HEIGHTS;  ENGLAND;  AMERICA;  BRITISH;  WALES,AMERICA,BRITISH,ENGLAND,5,-0,,None,None,None,0,0,1,Australia,Australia,1
2005,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,22,22,NA,22,UNIT-ROOT HYPOTHESIS;  OIL-PRICE SHOCK;  ECONOMIC-GROWTH;  GREAT CRASH;  TIME-SERIES;  TREND;  TESTS;  MODELS;  BREAKS,BREAKS,ECONOMIC-GROWTH,GREAT CRASH,9,-0,,None,None,None,0,0,1,Australia,Australia,5
2005,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,6,6,NA,6,AMERICA,AMERICA,None,None,1,-0,,None,None,None,0,0,0,Australia,Australia,0
2007,CLIOMETRICA,1,1,1,NA,1,1,NA,1,,None,None,None,0,-0,,None,None,None,0,0,1,Australia,Australia,0
2007,EXPLORATIONS IN ECONOMIC HISTORY,1,2,1.5,0.7071067811865476,122,61,52.32590180780452,98,CULTURE;  PRODUCTIVITY;  INSTITUTIONS;  EVOLUTION; UNITED-STATES;  PRODUCTIVITY,PRODUCTIVITY,EVOLUTION,INSTITUTIONS,6,-0,,None,None,None,0,0,1,Australia,Australia,0
2009,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2009,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,16,16,NA,16,HEIGHT;  GROWTH;  STANDARDS;  MALES;  AGE,AGE,GROWTH,MALES,5,-0,,None,None,None,0,0,1,Australia,Australia,1
2010,ECONOMIC HISTORY REVIEW,1,1,1,NA,11,11,NA,11,BRITISH EXPANSION OVERSEAS;  GENTLEMANLY CAPITALISM;  IMPERIALISM;  EMPIRE;  ARGENTINA;  CITY,ARGENTINA,CITY,EMPIRE,6,-0,,None,None,None,0,0,0,Australia,Australia,2
2010,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,7,7,NA,7,UNITED-STATES;  UNION-BANK;  RIGIDITY;  UNEMPLOYMENT;  FLEXIBILITY;  INFLATION;  AUSTRALIA;  SALARIES,AUSTRALIA,FLEXIBILITY,INFLATION,8,-0,,None,None,None,0,0,0,Australia,Australia,3
2011,CLIOMETRICA,1,1,2,NA,3,3,NA,3,AUSTRALIA;  ECONOMICS;  PAY,ECONOMICS,PAY,AUSTRALIA,3,-0,,None,None,None,0,0,0,Australia,Australia,0
2011,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2012,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2012,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2013,REVIEW OF ECONOMICS AND STATISTICS,0,1,1,NA,17,17,NA,17,MILITARY SERVICE;  INSTRUMENTAL VARIABLES;  DISABILITY ROLLS;  DRAFT;  RISE;  MORTALITY;  DECLINE;  HEALTH,DECLINE,DISABILITY ROLLS,DRAFT,8,-0,,None,None,None,0,0,1,Australia,Australia,3
2014,HISTORICAL METHODS,1,1,2,NA,1,1,NA,1,TRENDS,TRENDS,None,None,1,-0,,None,None,None,0,0,1,Australia,Australia,0
2014,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2014,SOCIAL SCIENCE HISTORY,1,1,1,NA,3,3,NA,3,PARTY CONTROL;  NEW-YORK;  IMPACT;  LAWS;  ERRORS;  STATES,ERRORS,IMPACT,LAWS,6,-0,,None,None,None,0,1,1,Australia,Australia,1
2015,ECONOMIC HISTORY REVIEW,1,3,1.3333333333333333,0.5773502691896257,22,7.333333333333334,10.214368964029708,19,CURRENCY COMPOSITION;  RESERVE CURRENCY; RISK;  MARKETS;  PRICES;  INVESTMENT;  RETURNS,INVESTMENT,MARKETS,PRICES,7,-0,,None,None,None,0,0,1,Australia,Australia,2
2015,REVIEW OF ECONOMICS AND STATISTICS,0,1,2,NA,90,90,NA,90,SOCIAL-SECURITY,SOCIAL-SECURITY,None,None,1,-0,,None,None,None,0,0,0,Australia,Australia,0
2016,ECONOMIC HISTORY REVIEW,1,2,2,1.4142135623730951,8,4,5.656854249492381,8,ECONOMIC-GROWTH;  INSTITUTIONS,INSTITUTIONS,ECONOMIC-GROWTH,None,2,-0,,None,None,None,0,0,0,Australia,Australia,0
2016,ECONOMIC MODELLING,0,1,4,NA,35,35,NA,35,NONPARAMETRIC FRONTIER MODELS;  STATISTICAL-INFERENCE;  PRODUCTIVE EFFICIENCY;  DEA APPROACH;  INDUSTRY;  GROWTH;  MINES;  FIRMS,DEA APPROACH,FIRMS,GROWTH,8,-0,,None,None,None,0,0,1,Australia,Australia,4
2016,HISTORICAL METHODS,1,1,1,NA,0,0,NA,0,MASS-MEDIA;  COUNTRIES,COUNTRIES,MASS-MEDIA,None,2,-0,,None,None,None,0,0,0,Australia,Australia,0
2017,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2017,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,2,NA,8,8,NA,8,LIFE-COURSE;  CRIME,CRIME,LIFE-COURSE,None,2,-0,,None,None,None,0,0,1,Australia,Australia,0
2017,SOCIAL SCIENCE HISTORY,1,2,1,0,2,1,1.4142135623730951,2,ITALIAN IMMIGRANTS; MIGRATION,MIGRATION,ITALIAN IMMIGRANTS,None,2,-0,,None,None,None,0,0,1,Australia,Australia,1
2018,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2019,ECONOMIC HISTORY REVIEW,1,1,2,NA,13,13,NA,13,COLONIAL AUSTRALIA;  GLOBALIZATION;  ECONOMY;  LAND,ECONOMY,GLOBALIZATION,LAND,4,-0,,None,None,None,0,0,1,Australia,Australia,1
2020,CLIOMETRICA,1,1,2,NA,12,12,NA,12,ENGLAND SOCIAL TABLES;  REAL INEQUALITY;  EUROPE;  AMERICA;  PRICES;  WAGES;  PERSPECTIVE;  STANDARDS;  ECONOMY;  LESSONS,AMERICA,ECONOMY,EUROPE,10,-0,,None,None,None,0,0,0,Australia,Australia,0
2020,ECONOMIC MODELLING,0,1,3,NA,69,69,NA,69,ENERGY DEMAND;  CHANGE ADAPTATION;  CONSUMPTION;  IMPACTS;  PRICE;  ENDOGENEITY;  SENSITIVITY;  MORTALITY;  CHOICE;  INCOME,CHANGE ADAPTATION,CHOICE,CONSUMPTION,10,-0,,None,None,None,0,0,1,Australia,Australia,2
2020,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,2,NA,4,4,NA,4,REAL PRODUCT;  WAGES;  19TH-CENTURY,19TH-CENTURY,WAGES,REAL PRODUCT,3,-0,,None,None,None,0,0,1,Australia,Australia,0
2020,EXPLORATIONS IN ECONOMIC HISTORY,1,1,3,NA,3,3,NA,3,OPPORTUNITY;  LAND,LAND,OPPORTUNITY,None,2,-0,,None,None,None,0,0,1,Australia,Australia,0
2020,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Australia,Australia,0
2020,SOCIAL SCIENCE HISTORY,1,2,2.5,2.1213203435596424,6,3,1.4142135623730951,4,LIVING STANDARDS;  ECONOMIC-DEVELOPMENT;  BODY-MASS;  HEIGHT;  INDUSTRIALIZATION;  HEALTH;  WOMEN;  INEQUALITY;  AUSTRALIA;  CONVICTS; LIVING STANDARDS;  HEIGHT;  ENGLISH;  ENGLAND;  DECLINE,HEIGHT,AUSTRALIA,BODY-MASS,15,-0,,None,None,None,0,0,2,Australia,Australia,1
