"word","freq"
"durante",65
"laws",65
"low",65
"path",65
"vietnam",65
"brexit",64
"cotton",64
"flows",64
"inclusive",64
"migrant",64
"nexus",64
"pakistan",64
"program",64
"reconstruction",64
"action",63
"aspects",63
"commercial",63
"elite",63
"families",63
"leadership",63
"results",63
"road",63
"coal",62
"goods",62
"internal",62
"liquidity",62
"origin",62
"paradox",62
"relationships",62
"sources",62
"transfer",62
"external",61
"force",61
"investigation",61
"kingdom",61
"mental",61
"mining",61
"opportunities",61
"opportunity",61
"puzzle",61
"romanian",61
"testing",61
"without",61
"classical",60
"entrepreneurial",60
"euro",60
"intervention",60
"methods",60
"overview",60
"shadow",60
"transmission",60
"accumulation",59
"ideas",59
"problems",59
"product",59
"uncertainty",59
"consumer",58
"curve",58
"half",58
"immigrant",58
"mercado",58
"personal",58
"responses",58
"barriers",57
"bond",57
"brazilian",57
"constraints",57
"dependence",57
"desde",57
"importance",57
"incentives",57
"look",57
"maritime",57
"narrative",57
"organizational",57
"schools",57
"white",57
"border",56
"cause",56
"china’s",56
"gas",56
"grain",56
"pandemics",56
"periphery",56
"planning",56
"usa",56
"wine",56
"aid",55
"back",55
"corruption",55
"dutch",55
"individual",55
"issue",55
"movement",55
"thought",55
"way",55
"и",55
"arab",54
"benefits",54
"eighteenth",54
"groups",54
"investments",54
"location",54
"na",54
"note",54
"peace",54
"post",54
"preferences",54
"resistance",54
"scale",54
"selected",54
"selection",54
"story",54
"strategic",54
"systematic",54
"accounts",53
"activities",53
"agrarian",53
"bad",53
"behaviour",53
"contract",53
"enterprises",53
"estado",53
"forced",53
"influenza",53
"nature",53
"oecd",53
"organization",53
"perception",53
"prospects",53
"right",53
"stagnation",53
"su",53
"will",53
"asset",52
"carbon",52
"curse",52
"elections",52
"emissions",52
"justice",52
"parental",52
"refugees",52
"soviet",52
"training",52
"agglomeration",51
"better",51
"bias",51
"expenditure",51
"ghana",51
"infant",51
"moral",51
"revisiting",51
"terrorism",51
"test",51
"womens",51
"",50
"area",50
"biological",50
"board",50
"cognitive",50
"competitiveness",50
"deal",50
"frontier",50
"im",50
"implementation",50
"inequalities",50
"mexican",50
"order",50
"qualitative",50
"scientific",50
"special",50
"voting",50
"areas",49
"behind",49
"canadian",49
"division",49
"indicators",49
"measures",49
"nutrition",49
"per",49
"short",49
"technologies",49
"transportation",49
"ukraine",49
"analyse",48
"brasil",48
"cape",48
"college",48
"creation",48
"democratic",48
"elites",48
"inclusion",48
"matters",48
"persistent",48
"reality",48
"regulatory",48
"sample",48
"statistics",48
"tale",48
"technical",48
"ancient",47
"art",47
"cash",47
"comment",47
"concentration",47
"contracts",47
"engagement",47
"engineering",47
"examining",47
"exposure",47
"intelligence",47
"méxico",47
"missing",47
"professional",47
"roles",47
"sciences",47
"segregation",47
"space",47
"statistical",47
"urbanization",47
"borders",46
"drivers",46
"essay",46
"expectations",46
"independence",46
"male",46
"news",46
"northern",46
"norway",46
"open",46
"organizations",46
"panic",46
"rethinking",46
"rules",46
"societies",46
"theoretical",46
"adult",45
"children’s",45
"concept",45
"distance",45
"enterprise",45
"globalisation",45
"malthusian",45
"railway",45
"sea",45
"ve",45
"adaptation",44
"advantage",44
"air",44
"asean",44
"causal",44
"earnings",44
"économique",44
"field",44
"five",44
"group",44
"portuguese",44
"prosperity",44
"psychological",44
"teaching",44
"terms",44
"von",44
"vulnerability",44
"w",44
"adults",43
"americas",43
"aux",43
"childhood",43
"citizenship",43
"comparing",43
"enforcement",43
"interpretation",43
"korean",43
"needs",43
"politique",43
"pollution",43
"relative",43
"secondary",43
"shift",43
"switzerland",43
"today",43
"traditional",43
"afrique",42
"cambio",42
"career",42
"collective",42
"della",42
"equality",42
"example",42
"interventions",42
"investigating",42
"method",42
"net",42
"netherlands",42
"physical",42
"populism",42
"provision",42
"prussia",42
"really",42
"settlement",42
"sharing",42
"shock",42
"southeast",42
"universities",42
"zealand",42
"antebellum",41
"bangladesh",41
"cooperative",41
"informal",41
"instability",41
"liberalization",41
"limits",41
"muslim",41
"railroads",41
"report",41
"ss",41
"thcentury",41
"theories",41
"agency",40
"assimilation",40
"danish",40
"displacement",40
"distress",40
"fluctuations",40
"growing",40
"households",40
"literacy",40
"marketing",40
"narratives",40
"pay",40
"primary",40
"rent",40
"safety",40
"skills",40
"student",40
"tariff",40
"taxes",40
"term",40
"thinking",40
"total",40
"york",40
"в",40
"agreements",39
"around",39
"attainment",39
"cartagena",39
"colombiano",39
"commerce",39
"cooperatives",39
"das",39
"emotional",39
"evaluating",39
"exploratory",39
"innovations",39
"light",39
"merchants",39
"parents",39
"pattern",39
"responsibility",39
"shares",39
"skill",39
"textile",39
"adjustment",38
"americans",38
"association",38
"body",38
"booms",38
"caribbean",38
"contagion",38
"croissance",38
"dos",38
"egypt",38
"estate",38
"foundations",38
"four",38
"gains",38
"generation",38
"golden",38
"house",38
"just",38
"liberal",38
"party",38
"perspectiva",38
"programs",38
"revolutions",38
"search",38
"silver",38
"stress",38
"v",38
"book",37
"caribe",37
"colony",37
"conceptual",37
"failures",37
"integrated",37
"intellectual",37
"japans",37
"lead",37
"managing",37
"modelling",37
"part",37
"pour",37
"pricing",37
"products",37
"protestant",37
"relation",37
"representation",37
"resort",37
"transitions",37
"version",37
"agraria",36
"approaches",36
"cases",36
"database",36
"développement",36
"disparities",36
"dollar",36
"equilibrium",36
"farm",36
"farmers",36
"heterogeneity",36
"improving",36
"key",36
"loan",36
"patent",36
"perceived",36
"plan",36
"quantifying",36
"residential",36
"subjective",36
"wales",36
"на",36
"allocation",35
"aproximación",35
"bonds",35
"chain",35
"co",35
"como",35
"default",35
"discourse",35
"facts",35
"flight",35
"gaps",35
"hungary",35
"ideology",35
"language",35
"lost",35
"mapping",35
"measure",35
"micro",35
"microfinance",35
"nation",35
"need",35
"notes",35
"processes",35
"railways",35
"renewable",35
"roman",35
"sectoral",35
"â€“",34
"active",34
"aftermath",34
"con",34
"content",34
"crise",34
"crosscountry",34
"econometric",34
"economia",34
"expectancy",34
"guerra",34
"guilds",34
"indigenous",34
"merchant",34
"methodological",34
"place",34
"premodern",34
"refugee",34
"related",34
"religiosity",34
"survival",34
"towns",34
"views",34
"warfare",34
"agenda",33
"census",33
"choices",33
"complex",33
"conflicts",33
"coping",33
"creative",33
"decisions",33
"developments",33
"disaster",33
"disasters",33
"economists",33
"explain",33
"exploration",33
"farming",33
"gendered",33
"healthcare",33
"indias",33
"modeling",33
"nonlinear",33
"norms",33
"peru",33
"premium",33
"prevention",33
"promote",33
"risks",33
"sistema",33
"spillovers",33
"street",33
"students’",33
"systemic",33
"transfers",33
"turn",33
"wall",33
"wheat",33
"zur",33
"atlantic",32
"cas",32
"collapse",32
"denmark",32
"employee",32
"és",32
"ethics",32
"forces",32
"funds",32
"genetic",32
"goals",32
"help",32
"heterogeneous",32
"innovative",32
"learn",32
"lens",32
"malthus",32
"next",32
"older",32
"openness",32
"persecution",32
"rich",32
"share",32
"sugar",32
"tariffs",32
"treatment",32
"unification",32
"aging",31
"agricultura",31
"bubble",31
"budget",31
"composition",31
"controls",31
"dimensions",31
"diversification",31
"ecuador",31
"eine",31
"entrepreneurs",31
"evolución",31
"face",31
"für",31
"identifying",31
"industrialisation",31
"inheritance",31
"iron",31
"jewish",31
"leaders",31
"loss",31
"much",31
"multidimensional",31
"nueva",31
"paris",31
"partnership",31
"por",31
"possible",31
"predicting",31
"sanctions",31
"siglos",31
"third",31
"variables",31
"abuse",30
"decade",30
"den",30
"efficient",30
"endogenous",30
"estimation",30
"ethiopia",30
"fdi",30
"forecasting",30
"fragility",30
"histórica",30
"ict",30
"industria",30
"initial",30
"kenya",30
"lands",30
"later",30
"learned",30
"legacies",30
"linkages",30
"machine",30
"make",30
"methodology",30
"minority",30
"monetaria",30
"multiple",30
"options",30
"patents",30
"philippines",30
"police",30
"positive",30
"prewar",30
"protectionism",30
"redistribution",30
"sectors",30
"successful",30
"teachers",30
"unified",30
"another",29
"asymmetric",29
"austerity",29
"banca",29
"banco",29
"basic",29
"challenge",29
"comercio",29
"communism",29
"contributions",29
"critique",29
"decades",29
"demography",29
"divide",29
"effective",29
"emigration",29
"empresas",29
"enduring",29
"examination",29
"following",29
"geographic",29
"impacto",29
"intensity",29
"levels",29
"liability",29
"modernization",29
"mothers",29
"myth",29
"partner",29
"presidential",29
"reduction",29
"reforma",29
"repression",29
"san",29
"sociale",29
"socialism",29
"territorial",29
"thailand",29
"trap",29
"wave",29
"account",28
"administration",28
"adolescents",28
"aggregate",28
"army",28
"beginning",28
"berlin",28
"best",28
"brief",28
"democratization",28
"desigualdad",28
"effectiveness",28
"empowerment",28
"ethnicity",28
"events",28
"findings",28
"forward",28
"game",28
"geographical",28
"gulf",28
"instituciones",28
"interactions",28
"john",28
"keynes",28
"like",28
"medical",28
"optimal",28
"pension",28
"profit",28
"relief",28
"remittances",28
"reversal",28
"shipping",28
"spread",28
"unequal",28
"universal",28
"weather",28
"weight",28
"africas",27
"analyzing",27
"anthropometric",27
"applications",27
"assistance",27
"cliometrics",27
"colombiana",27
"competitive",27
"em",27
"endowments",27
"engine",27
"epidemic",27
"form",27
"implicit",27
"interaction",27
"invention",27
"main",27
"major",27
"mechanism",27
"mechanisms",27
"mission",27
"modelo",27
"mortgage",27
"nationalism",27
"negative",27
"neoliberal",27
"ratios",27
"regarding",27
"reporting",27
"retail",27
"rising",27
"source",27
"specialization",27
"structures",27
"tests",27
"trajectories",27
"transaction",27
"twitter",27
"via",27
"victorian",27
"achievement",26
"ages",26
"anos",26
"austria",26
"become",26
"beliefs",26
"cliometric",26
"colonialism",26
"comparisons",26
"coordination",26
"dataset",26
"debates",26
"defense",26
"deposit",26
"district",26
"drives",26
"earthquake",26
"económicos",26
"eighteenthcentury",26
"escape",26
"evolutionary",26
"features",26
"fed",26
"financiera",26
"financière",26
"function",26
"gran",26
"guerre",26
"în",26
"israel",26
"mediterranean",26
"mobile",26
"mutual",26
"nominal",26
"ratio",26
"recessions",26
"records",26
"reformation",26
"requirements",26
"reunification",26
"rice",26
"saving",26
"shaping",26
"siècle",26
"taking",26
"togo",26
"trend",26
"uma",26
"unit",26
"village",26
"year",26
"zone",26
"according",25
"achieving",25
"bargaining",25
"belgium",25
"bretton",25
"california",25
"campaign",25
"chains",25
"compensation",25
"compulsory",25
"decision",25
"deep",25
"dual",25
"election",25
"emancipation",25
"entry",25
"evolving",25
"expenditures",25
"facto",25
"funding",25
"gravity",25
"hospital",25
"imf",25
"improve",25
"independencia",25
"influencing",25
"institution",25
"intimate",25
"iran",25
"legislation",25
"leverage",25
"lives",25
"minimum",25
"motivation",25
"norwegian",25
"nuclear",25
"nutritional",25
"participatory",25
"payments",25
"pre",25
"preliminary",25
"privatization",25
"projects",25
"purpose",25
"que",25
"rail",25
"regulations",25
"rents",25
"safe",25
"scoping",25
"segunda",25
"setting",25
"settlements",25
"stature",25
"still",25
"supervision",25
"swiss",25
"taiwan",25
"tierra",25
"tradeoff",25
"woods",25
"xviii",25
"autonomy",24
"ca",24
"colombian",24
"constitutional",24
"consumo",24
"dairy",24
"dei",24
"disabilities",24
"discussion",24
"drug",24
"efectos",24
"eurozone",24
"former",24
"forms",24
"governments",24
"happiness",24
"historic",24
"hungarian",24
"imbalances",24
"import",24
"ingreso",24
"inquiry",24
"instruments",24
"interbank",24
"islam",24
"judicial",24
"link",24
"little",24
"loans",24
"longitudinal",24
"looking",24
"lower",24
"member",24
"neoliberalism",24
"par",24
"pathways",24
"periodo",24
"portfolio",24
"presence",24
"programmes",24
"provinces",24
"república",24
"side",24
"sport",24
"sus",24
"tool",24
"transnational",24
"twentiethcentury",24
"um",24
"veterans",24
"workers’",24
"amsterdam",23
"applied",23
"arrangements",23
"associations",23
"burden",23
"church",23
"consensus",23
"defaults",23
"developed",23
"equal",23
"española",23
"estados",23
"finances",23
"fund",23
"important",23
"increasing",23
"indices",23
"indonesian",23
"influences",23
"internacional",23
"investors",23
"isolation",23
"journey",23
"largo",23
"legitimacy",23
"lender",23
"longevity",23
"malaysia",23
"paradigm",23
"parenting",23
"paths",23
"people’s",23
"políticas",23
"pressure",23
"promoting",23
"quest",23
"reduce",23
"reducing",23
"reputation",23
"restrictions",23
"retirement",23
"revenue",23
"roads",23
"significance",23
"spring",23
"sri",23
"steel",23
"subsidies",23
"tra",23
"twentyfirst",23
"unions",23
"variation",23
"violent",23
"waves",23
"affecting",22
"agreement",22
"años",22
"associated",22
"asylum",22
"attacks",22
"average",22
"bankruptcy",22
"banque",22
"base",22
"bibliometric",22
"capita",22
"capitalist",22
"causality",22
"coercion",22
"cointegration",22
"collaboration",22
"concerns",22
"continental",22
"corona",22
"corporations",22
"crash",22
"creating",22
"currencies",22
"czech",22
"decomposition",22
"density",22
"destruction",22
"dilemma",22
"económicas",22
"electoral",22
"empirics",22
"formal",22
"fundamental",22
"genocide",22
"guide",22
"hong",22
"hyperinflation",22
"it’s",22
"know",22
"largescale",22
"linking",22
"madrid",22
"maternal",22
"music",22
"name",22
"perú",22
"phenomenon",22
"point",22
"precolonial",22
"principles",22
"sense",22
"settler",22
"shareholder",22
"smes",22
"solutions",22
"stem",22
"suffrage",22
"teacher",22
"wwii",22
"absence",21
"administrative",21
"bolivia",21
"chilean",21
"colonies",21
"commitment",21
"comprehensive",21
"constitution",21
"decentralization",21
"deflation",21
"disintegration",21
"europa",21
"extension",21
"fifty",21
"finland",21
"flu",21
"foster",21
"girls",21
"hazard",21
"hidden",21
"imperialism",21
"imports",21
"independent",21
"intention",21
"interests",21
"invasion",21
"inversión",21
"italia",21
"jobs",21
"jordan",21
"kuznets",21
"left",21
"less",21
"mineral",21
"mixed",21
"mobilization",21
"modernity",21
"monitoring",21
"monopoly",21
"neighborhood",21
"organisations",21
"plazo",21
"politica",21
"populations",21
"press",21
"prevalence",21
"profitability",21
"provincial",21
"pública",21
"question",21
"restructuring",21
"revival",21
"sentiment",21
"şi",21
"single",21
"six",21
"struggle",21
"terrorist",21
"textiles",21
"threat",21
"unidos",21
"variability",21
"victims",21
"wartime",21
"workplace",21
"works",21
"xxi",21
"yield",21
"adolescent",20
"advanced",20
"agrario",20
"analyses",20
"architecture",20
"austrian",20
"authority",20
"baltic",20
"catchup",20
"christian",20
"commodities",20
"competing",20
"conservation",20
"contexts",20
"corporation",20
"costa",20
"course",20
"creativity",20
"crop",20
"dead",20
"designing",20
"dimension",20
"diplomacy",20
"discipline",20
"distributional",20
"divorce",20
"ecological",20
"economica",20
"electrification",20
"employees",20
"episodes",20
"establishment",20
"ethical",20
"everyday",20
"exceptionalism",20
"extreme",20
"factory",20
"flow",20
"founding",20
"fuel",20
"go",20
"hard",20
"hierarchy",20
"involvement",20
"joint",20
"liberation",20
"macroeconomics",20
"matching",20
"mena",20
"multilevel",20
"nel",20
"now",20
"organisational",20
"pacific",20
"paulo",20
"peasant",20
"polish",20
"port",20
"relational",20
"revisión",20
"são",20
"secular",20
"seeking",20
"selfefficacy",20
"shifting",20
"slow",20
"style",20
"subsaharienne",20
"substitution",20
"syrian",20
"take",20
"tanzania",20
"target",20
"threats",20
"travel",20
"turkish",20
"types",20
"uganda",20
"usage",20
"vida",20
"wrong",20
"“the",19
"activism",19
"agents",19
"artificial",19
"bubbles",19
"bust",19
"canal",19
"coast",19
"coffee",19
"cold",19
"colonization",19
"conditional",19
"d",19
"daily",19
"dating",19
"dawn",19
"demise",19
"driving",19
"electric",19
"enfoque",19
"europea",19
"europes",19
"expected",19
"experiments",19
"explains",19
"explanation",19
"facing",19
"feminist",19
"fighting",19
"focus",19
"germanys",19
"gross",19
"heights",19
"heritage",19
"hours",19
"idea",19
"identification",19
"indicator",19
"indirect",19
"inflación",19
"insecurity",19
"internet",19
"irrigation",19
"italy’s",19
"live",19
"logistics",19
"luxury",19
"managers",19
"meaning",19
"membership",19
"minorities",19
"napoleonic",19
"numeracy",19
"opium",19
"ou",19
"países",19
"panics",19
"partir",19
"prior",19
"progressive",19
"promotion",19
"province",19
"radio",19
"rd",19
"realities",19
"record",19
"reference",19
"regression",19
"reserves",19
"river",19
"scarcity",19
"secolului",19
"serbia",19
"shape",19
"silk",19
"spinning",19
"stabilization",19
"stages",19
"teachers’",19
"tenure",19
"town",19
"unrest",19
"urbanisation",19
"venezuela",19
"virtual",19
"voluntary",19
"vulnerable",19
"winners",19
"worlds",19
"«",18
"agencies",18
"annual",18
"apprenticeship",18
"athens",18
"bajo",18
"basin",18
"bir",18
"capabilities",18
"ce",18
"changed",18
"communist",18
"compared",18
"counties",18
"credibility",18
"criminal",18
"cross",18
"cuba",18
"customer",18
"cyprus",18
"deuda",18
"dictatorship",18
"disability",18
"disorder",18
"drive",18
"empires",18
"entreprises",18
"estudio",18
"estudios",18
"exclusion",18
"fair",18
"fintech",18
"forest",18
"fortunes",18
"foundation",18
"framing",18
"gasto",18
"gestión",18
"hope",18
"identities",18
"initiatives",18
"institucional",18
"investing",18
"leading",18
"lockdown",18
"losers",18
"macro",18
"many",18
"marital",18
"means",18
"medicine",18
"meiji",18
"memory",18
"mergers",18
"middleincome",18
"miracle",18
"mirror",18
"mundial",18
"municipal",18
"nigerian",18
"occupation",18
"occupations",18
"official",18
"opening",18
"operations",18
"organisation",18
"performances",18
"polarization",18
"populist",18
"position",18
"precios",18
"preference",18
"primera",18
"prison",18
"proposal",18
"público",18
"qué",18
"radical",18
"reassessment",18
"reconstructing",18
"régimen",18
"renaissance",18
"revolutionary",18
"riding",18
"saudi",18
"scope",18
"securities",18
"si",18
"situation",18
"smart",18
"socialist",18
"spillover",18
"sports",18
"start",18
"stocks",18
"targeting",18
"tobacco",18
"transatlantic",18
"treaty",18
"var",18
"venture",18
"voice",18
"weimar",18
"»",17
"aires",17
"als",17
"animal",17
"antes",17
"antitrust",17
"assets",17
"attempt",17
"attitude",17
"availability",17
"balkans",17
"breaks",17
"buenos",17
"catalonia",17
"citizens",17
"connections",17
"consumers",17
"council",17
"county",17
"coverage",17
"decisionmaking",17
"decomposing",17
"deregulation",17
"deutschen",17
"directions",17
"double",17
"econometrics",17
"économiques",17
"empresa",17
"empresarial",17
"ever",17
"evidencia",17
"fail",17
"falling",17
"farmers’",17
"fashion",17
"fear",17
"federation",17
"fragmentation",17
"games",17
"genderbased",17
"geopolitical",17
"granada",17
"hundred",17
"iberian",17
"increase",17
"infectious",17
"infrastructures",17
"initiative",17
"insight",17
"interdependence",17
"italys",17
"lanka",17
"leaving",17
"losses",17
"lowincome",17
"malawi",17
"millennium",17
"multilateral",17
"nach",17
"parity",17
"partnerships",17
"payment",17
"philippine",17
"prussian",17
"punishment",17
"rational",17
"reallocation",17
"red",17
"restriction",17
"rio",17
"robert",17
"rome",17
"root",17
"santa",17
"scheme",17
"secularization",17
"sierra",17
"spirit",17
"stalin",17
"studying",17
"surveillance",17
"survivors",17
"tell",17
"thai",17
"together",17
"tunisia",17
"type",17
"underdevelopment",17
"variable",17
"venice",17
"victimization",17
"well",17
"россии",17
"acquisitions",16
"advertising",16
"africa’s",16
"anatomy",16
"apartheid",16
"autocracy",16
"automobile",16
"az",16
"bankers",16
"behaviors",16
"bengal",16
"bis",16
"bringing",16
"burnout",16
"café",16
"capability",16
"catching",16
"catholic",16
"ciudad",16
"collaborative",16
"comercial",16
"competence",16
"complexity",16
"connection",16
"consolidation",16
"construcción",16
"continuity",16
"court",16
"crossborder",16
"crossnational",16
"dependency",16
"din",16
"dispersion",16
"diverse",16
"due",16
"educación",16
"emu",16
"enhancing",16
"enough",16
"environments",16
"estimación",16
"estructura",16
"experimental",16
"exportaciones",16
"failed",16
"fascism",16
"fight",16
"fragile",16
"frontiers",16
"futures",16
"generations",16
"globalización",16
"impactos",16
"improvements",16
"instrument",16
"integrating",16
"intentions",16
"island",16
"journal",16
"landscape",16
"liberalisation",16
"limited",16
"mediating",16
"mediation",16
"midth",16
"minas",16
"monthly",16
"movements",16
"moving",16
"nacional",16
"navigating",16
"objectives",16
"observations",16
"outside",16
"panama",16
"peer",16
"pensamiento",16
"periods",16
"phillips",16
"pobreza",16
"poder",16
"premiums",16
"principle",16
"propiedad",16
"racism",16
"reasons",16
"reassessing",16
"relación",16
"reply",16
"reviewers",16
"scenario",16
"schumpeter",16
"scientists",16
"scottish",16
"senegal",16
"shaped",16
"shifts",16
"shortterm",16
"smallpox",16
"solidarity",16
"solution",16
"son",16
"sorting",16
"spaces",16
"speech",16
"steam",16
"subnational",16
"subprime",16
