publication.year,source.title,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,n_keywords,top1keyword,top2keyword,top3keyword,keyword_entropy,ave_keywords,n_funding,top2funder,top3funder,ave_funding,country,continent,new_keywords
2018,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Afghanistan,Asia,NA
2001,EU.ECON.REV.,1,1,NA,134,134,NA,134,POLITICAL-ECONOMY;DECENTRALIZATION;EFFICIENCY;DANGERS,4,DANGERS,DECENTRALIZATION,EFFICIENCY,1.3862943611198906,1,1,NA,NA,NA,Albania,Europe,2
2002,J.PUBLIC.ECON,1,1,NA,102,102,NA,102,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Albania,Europe,NA
2004,EU.ECON.REV.,1,1,NA,43,43,NA,43,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Albania,Europe,NA
2014,EU.ECON.REV.,1,3,NA,21,21,NA,21,PUBLIC-GOODS;RANDOMIZED EVALUATION;ETHNIC DIVERSITY;COOPERATION;TRUST;PUNISHMENT;DYNAMICS;PROGRAMS;CALCULUS;HEALTH,10,CALCULUS,COOPERATION,DYNAMICS,2.3025850929940455,1,1,NA,NA,NA,Albania,Europe,1
2018,EU.ECON.REV.,1,2,NA,43,43,NA,43,LABOR-MARKET;IMMIGRATION;IMPACT;SELECTION;ALBANIA;DEMAND;CHINA,7,ALBANIA,CHINA,DEMAND,1.945910149055313,1,1,NA,NA,NA,Albania,Europe,1
2018,SOC.SCI.HIST.,2,1,0,6,3,4.242640687119285,6,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Albania,Europe,NA
2002,EU.REV.ECON.HIST.,1,2,NA,48,48,NA,48,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Algeria,Africa,NA
2004,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Algeria,Africa,NA
2011,ECON.MODELLING,1,2,NA,19,19,NA,19,ANALYTIC HIERARCHY PROCESS;FOREIGN DIRECT-INVESTMENT;PORTFOLIO SELECTION;INSTITUTIONS;MARKETS;TRADE;FLOWS;MODEL;DETERMINANTS;INTEGRATION,10,ANALYTIC HIERARCHY PROCESS,DETERMINANTS,FLOWS,2.3025850929940455,1,1,NA,NA,NA,Algeria,Africa,1
2011,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Algeria,Africa,NA
2012,ECON.MODELLING,1,1,NA,6,6,NA,6,FINANCIAL DEVELOPMENT;GROWTH;GAPS,3,FINANCIAL DEVELOPMENT,GAPS,GROWTH,1.0986122886681096,1,1,NA,NA,NA,Algeria,Africa,1
2015,EXP.ECON.HIST.,1,1,NA,6,6,NA,6,OTTOMAN-EMPIRE,1,OTTOMAN-EMPIRE,NA,NA,-0,1,1,NA,NA,NA,Algeria,Africa,0
2017,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Algeria,Africa,NA
2007,ECON.MODELLING,1,2,NA,14,14,NA,14,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Angola,Africa,NA
2012,ECON.MODELLING,1,1,NA,83,83,NA,83,TRADE;FDI;TESTS,3,FDI,TESTS,TRADE,1.0986122886681096,1,1,NA,NA,NA,Angola,Africa,0
2017,EU.ECON.REV.,1,1,NA,12,12,NA,12,MINIMUM-WAGES;IMPACT;IMMIGRATION;CONSEQUENCES;INSTITUTIONS;EMPLOYMENT,6,CONSEQUENCES,EMPLOYMENT,IMMIGRATION,1.7917594692280547,1,1,NA,NA,NA,Angola,Africa,0
2017,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Angola,Africa,NA
1999,ECON.HIST.REV.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
1999,J.INTER.HIST.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
1999,J.MONETARY.ECON,1,1,NA,6,6,NA,6,SEARCH MARKETS;EFFICIENCY;TAXATION;PRICES;GROWTH;MONEY,6,EFFICIENCY,GROWTH,MONEY,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,6
2000,ECON.HIST.REV.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2000,J.DEV.ECON.,4,2,0.816496580927726,242,60.5,61.00546423613762,131,INTEREST MARGINS;DETERMINANTS;DEPOSIT;COMMODITY PRICES;STATES;POLICY,6,COMMODITY PRICES,DEPOSIT,DETERMINANTS,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,3
2000,J.INTER.HIST.,2,1.5,0.7071067811865476,4,2,2.8284271247461903,4,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2000,J.MONETARY.ECON,2,1.5,0.7071067811865476,65,32.5,16.263455967290593,44,ARIMA FRAMEWORK;UNIT-ROOT;TIME-SERIES;GROWTH;SUPERNEUTRALITY;MONEY;PERSPECTIVE;FINANCE;CRISES;MODEL;DEPOSIT INSURANCE;CONTAGION;FAILURES;PANICS,14,ARIMA FRAMEWORK,CONTAGION,CRISES,2.6390573296152584,1,1,NA,NA,NA,Argentina,S. America,7
2001,ECON.MODELLING,1,2,NA,2,2,NA,2,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2001,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2002,ECON.HIST.REV.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2002,EXP.ECON.HIST.,1,2,NA,6,6,NA,6,FINANCIAL REPRESSION;EFFICIENT TESTS;BALANCE;MODEL,4,BALANCE,EFFICIENT TESTS,FINANCIAL REPRESSION,1.3862943611198906,1,1,NA,NA,NA,Argentina,S. America,2
2002,J.DEV.ECON.,1,2,NA,19,19,NA,19,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2002,J.ECON.LIT.,1,3,NA,125,125,NA,125,REAL EXCHANGE-RATE;TEMPORARY STABILIZATION;DISINFLATION;EXPECTATIONS;MONEY;HYPERINFLATION;CONSEQUENCES;CREDIBILITY;CONSUMPTION;ARGENTINA,10,ARGENTINA,CONSEQUENCES,CONSUMPTION,2.3025850929940455,1,1,NA,NA,NA,Argentina,S. America,3
2002,J.MONETARY.ECON,1,2,NA,14,14,NA,14,PUBLIC-FINANCE;OPTIMUM QUANTITY;INFLATION;POLICY;MONEY;WAR,6,INFLATION,MONEY,OPTIMUM QUANTITY,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,1
2003,ECON.HIST.REV.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2003,ECONOMICS LETTERS,1,1,NA,24,24,NA,24,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2003,J.DEV.ECON.,3,1.6666666666666667,0.5773502691896257,102,34,45.13313638558703,86,DEMAND;1980S;BENEFITS;SPELLS,4,1980S,BENEFITS,DEMAND,1.3862943611198906,1,1,NA,NA,NA,Argentina,S. America,0
2003,J.ECON.LIT.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2003,J.INTER.HIST.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2003,J.MONETARY.ECON,1,3,NA,226,226,NA,226,GOODS;TRADE;MODEL;LAW,4,GOODS,LAW,MODEL,1.3862943611198906,1,1,NA,NA,NA,Argentina,S. America,0
2003,REV.ECON.STAT.,1,1,NA,380,380,NA,380,STOCK-MARKET,1,STOCK-MARKET,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,0
2004,AMER.ECON.REV,1,2,NA,350,350,NA,350,ELECTORAL CYCLES;TIME-SERIES;DETERRENCE;INCAPACITATION;ENFORCEMENT;EARNINGS;BREAKS;RATES;LAW,9,BREAKS,DETERRENCE,EARNINGS,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,2
2004,ECON.MODELLING,1,2,NA,3,3,NA,3,INTERDEPENDENCE,1,INTERDEPENDENCE,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,1
2004,ECONOMICS LETTERS,2,3,0,53,26.5,13.435028842544403,36,UNIT-ROOT;MODELS;BUDGET,3,BUDGET,MODELS,UNIT-ROOT,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,1
2004,EXP.ECON.HIST.,1,1,NA,37,37,NA,37,LIVING STANDARDS;UNITED-KINGDOM;HEIGHT;POPULATION;IMPACT,5,HEIGHT,IMPACT,LIVING STANDARDS,1.6094379124341005,1,1,NA,NA,NA,Argentina,S. America,0
2004,J.ECON.LIT.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2004,SOC.SCI.HIST.,1,1,NA,17,17,NA,17,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2005,ECON.HIST.REV.,2,2,1.4142135623730951,67,33.5,47.37615433949868,67,MORTALITY;INDEX,2,INDEX,MORTALITY,NA,0.6931471805599453,1,1,NA,NA,NA,Argentina,S. America,0
2005,ECON.MODELLING,1,1,NA,18,18,NA,18,CONTAGION;CRISIS,2,CONTAGION,CRISIS,NA,0.6931471805599453,1,1,NA,NA,NA,Argentina,S. America,0
2005,EXP.ECON.HIST.,2,1,0,22,11,15.556349186104045,22,UNIT-ROOT HYPOTHESIS;OIL-PRICE SHOCK;ECONOMIC-GROWTH;GREAT CRASH;TIME-SERIES;TREND;TESTS;MODELS;BREAKS,9,BREAKS,ECONOMIC-GROWTH,GREAT CRASH,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,0
2005,J.DEV.ECON.,1,2,NA,9,9,NA,9,SOFT BUDGET CONSTRAINT;TRANSITION ECONOMIES;DETERMINANTS;OWNERSHIP;PERFORMANCE;FIRMS,6,DETERMINANTS,FIRMS,OWNERSHIP,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,1
2005,J.INTER.HIST.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2005,J.MONETARY.ECON,1,2,NA,490,490,NA,490,EXCHANGE-RATE,1,EXCHANGE-RATE,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,0
2006,ECON.HIST.REV.,2,1,0,11,5.5,7.7781745930520225,11,INVESTMENTS,1,INVESTMENTS,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,0
2006,EU.ECON.REV.,1,2,NA,91,91,NA,91,PROPENSITY SCORE;EARNINGS;CAUSAL,3,CAUSAL,EARNINGS,PROPENSITY SCORE,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,0
2006,J.MONETARY.ECON,1,4,NA,31,31,NA,31,MARKET-SEGMENTATION;PRICES,2,MARKET-SEGMENTATION,PRICES,NA,0.6931471805599453,1,1,NA,NA,NA,Argentina,S. America,0
2007,ECONOMICS LETTERS,1,2,NA,5,5,NA,5,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2007,J.ECON.LIT.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2007,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2008,AMER.ECON.REV,1,1,NA,450,450,NA,450,BUSINESS CYCLES;SOVEREIGN DEBT;INTEREST-RATES;REPUDIATION;MARKETS;EFFICIENCY;CREDIT;AGENCY,8,AGENCY,BUSINESS CYCLES,CREDIT,2.0794415416798357,1,1,NA,NA,NA,Argentina,S. America,0
2008,ECONOMICS LETTERS,2,1.5,0.7071067811865476,44,22,5.656854249492381,26,ECONOMIC-GROWTH;OUTPUT GROWTH;UNCERTAINTY;INFLATION;UNIT-ROOT;TIME-SERIES;HYPOTHESIS,7,ECONOMIC-GROWTH,HYPOTHESIS,INFLATION,1.945910149055313,1,1,NA,NA,NA,Argentina,S. America,0
2008,J.DEV.ECON.,1,4,NA,14,14,NA,14,INCOME-DISTRIBUTION;INSTITUTIONS;INEQUALITY,3,INCOME-DISTRIBUTION,INEQUALITY,INSTITUTIONS,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,0
2008,J.INTER.HIST.,1,2,NA,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2008,J.PUBLIC.ECON,1,3,NA,101,101,NA,101,DEVELOPING-COUNTRIES;PROGRAM;ACCOUNTABILITY;PERFORMANCE;INCENTIVES;PROVISION;ARGENTINA;DELIVERY;POLITICS;CHOICE,10,ACCOUNTABILITY,ARGENTINA,CHOICE,2.3025850929940455,1,1,NA,NA,NA,Argentina,S. America,0
2009,CLIO,1,2,NA,23,23,NA,23,GROWTH;INVESTMENT;INEQUALITY;WORLD,4,GROWTH,INEQUALITY,INVESTMENT,1.3862943611198906,1,1,NA,NA,NA,Argentina,S. America,0
2009,ECONOMICS LETTERS,2,1.5,0.7071067811865476,8,4,4.242640687119285,7,ARGENTINA;PROTEST;INSTITUTIONS,3,ARGENTINA,INSTITUTIONS,PROTEST,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,0
2009,EXP.ECON.HIST.,1,1,NA,12,12,NA,12,ECONOMY,1,ECONOMY,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,0
2009,J.DEV.ECON.,1,1,NA,263,263,NA,263,DEVELOPING-COUNTRIES;ECONOMIC-GROWTH;VOLATILITY;UNCERTAINTY,4,DEVELOPING-COUNTRIES,ECONOMIC-GROWTH,UNCERTAINTY,1.3862943611198906,1,1,NA,NA,NA,Argentina,S. America,0
2009,J.MONETARY.ECON,1,2,NA,22,22,NA,22,MONEY;MODEL;EXCHANGE,3,EXCHANGE,MODEL,MONEY,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,0
2009,J.PUBLIC.ECON,1,3,NA,187,187,NA,187,CLASS SIZE;PRESCHOOL ATTENDANCE;HEAD-START,3,CLASS SIZE,HEAD-START,PRESCHOOL ATTENDANCE,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,1
2010,ECON.HIST.REV.,1,1,NA,11,11,NA,11,BRITISH EXPANSION OVERSEAS;GENTLEMANLY CAPITALISM;IMPERIALISM;EMPIRE;ARGENTINA;CITY,6,ARGENTINA,BRITISH EXPANSION OVERSEAS,CITY,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,1
2010,EXP.ECON.HIST.,1,2,NA,22,22,NA,22,DEMOCRACY;INSTITUTIONS;EVOLUTION,3,DEMOCRACY,EVOLUTION,INSTITUTIONS,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,0
2010,J.DEV.ECON.,1,3,NA,64,64,NA,64,DEVELOPING-COUNTRIES;LABOR-MARKETS;COINTEGRATION;MODEL;MEXICO;SECTOR,6,COINTEGRATION,DEVELOPING-COUNTRIES,LABOR-MARKETS,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,0
2010,J.INTER.HIST.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2010,J.PUBLIC.ECON,1,2,NA,300,300,NA,300,INVESTMENT INCENTIVES;TENURE SECURITY;TRADE-OFF;QUANTITY;QUALITY;FERTILITY;CHILDREN;IMPACT;INSTITUTIONS;PERFORMANCE,10,CHILDREN,FERTILITY,IMPACT,2.3025850929940455,1,1,NA,NA,NA,Argentina,S. America,0
2010,REV.ECON.STAT.,1,2,NA,18,18,NA,18,TRADE LIBERALIZATION;UNITED-STATES;INEQUALITY;IMPACT;PROTECTION;COUNTRIES;MEXICO;MODEL;LABOR,9,COUNTRIES,IMPACT,INEQUALITY,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,0
2011,AMER.ECON.REV,2,2.5,2.1213203435596424,1022,511,270.1147904132612,702,BUSINESS CYCLES;FISCAL-POLICY;FLUCTUATIONS;INFORMATION;ECONOMIES;MATURITY;DEBT;TIME;PLANT-LEVEL PRODUCTIVITY;INTERNATIONAL-TRADE;WAGE INEQUALITY;COLOMBIA;GLOBALIZATION;COUNTRIES;MODEL,15,BUSINESS CYCLES,COLOMBIA,COUNTRIES,2.70805020110221,1,1,NA,NA,NA,Argentina,S. America,2
2011,ECON.MODELLING,3,2.3333333333333335,0.5773502691896258,33,11,6.082762530298219,15,LOST DECADE;ARGENTINA;BALANCE SHEETS;TIME-SERIES;UNIT-ROOT;TESTS;PARAMETER;FLUCTUATIONS;AREA,9,AREA,ARGENTINA,BALANCE SHEETS,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,2
2011,J.DEV.ECON.,1,3,NA,26,26,NA,26,REAL EXCHANGE-RATE;INTERNATIONAL EVIDENCE;HISTORICAL PROPERTIES;FLUCTUATIONS;VOLATILITY;GROWTH;TERMS;TRADE,8,FLUCTUATIONS,GROWTH,HISTORICAL PROPERTIES,2.0794415416798357,1,1,NA,NA,NA,Argentina,S. America,1
2011,J.INTER.HIST.,2,1,0,2,1,1.4142135623730951,2,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2011,J.PUBLIC.ECON,2,2.5,0.7071067811865476,84,42,28.284271247461902,62,POVERTY;OPPORTUNITY;DEPRIVATION;CHOICE;GENDER DIFFERENCES;TRUST;DECISIONS;AVERSION;GAME,9,AVERSION,CHOICE,DECISIONS,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,0
2012,AMER.ECON.REV,2,2.5,0.7071067811865476,292,146,12.727922061357855,155,INTERNATIONAL-TRADE;PRODUCT QUALITY;FIRM HETEROGENEITY;WAGE INEQUALITY;IMPACT;LIBERALIZATION;GLOBALIZATION;VARIETY;PRICES;COSTS;SOVEREIGN DEFAULT;INTEREST-RATES;DEBT,13,COSTS,DEBT,FIRM HETEROGENEITY,2.5649493574615376,1,1,NA,NA,NA,Argentina,S. America,1
2012,ECON.HIST.REV.,1,3,NA,29,29,NA,29,PRIMARY-EDUCATION;TRENDS;LITERACY;POPULATION;EXPANSION;BRAZIL;PERU,7,BRAZIL,EXPANSION,LITERACY,1.945910149055313,1,1,NA,NA,NA,Argentina,S. America,1
2012,ECON.MODELLING,1,3,NA,11,11,NA,11,OUTBREAK;IMPACT;AGROTERRORISM,3,AGROTERRORISM,IMPACT,OUTBREAK,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,2
2012,EXP.ECON.HIST.,1,3,NA,79,79,NA,79,RURAL WORKERS;POPULATION;OPPRESSION;STANDARDS;PEONAGE;MEXICO;PRICES,7,MEXICO,OPPRESSION,PEONAGE,1.945910149055313,1,1,NA,NA,NA,Argentina,S. America,3
2012,J.DEV.ECON.,1,1,NA,80,80,NA,80,INTERMEDIATE INPUTS;PRODUCTIVITY;PLANTS;IMPACT;LEVEL,5,IMPACT,INTERMEDIATE INPUTS,LEVEL,1.6094379124341005,1,1,NA,NA,NA,Argentina,S. America,0
2012,J.INTER.HIST.,3,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2012,J.PUBLIC.ECON,1,3,NA,16,16,NA,16,SOCIAL-MOBILITY;VOTING-BEHAVIOR;MEDIA BIAS;PREFERENCES;REDISTRIBUTION;CONSEQUENCES;ATTITUDES;MARKETS;DEMAND;EUROPE,10,ATTITUDES,CONSEQUENCES,DEMAND,2.3025850929940455,1,1,NA,NA,NA,Argentina,S. America,0
2013,ECON.HIST.REV.,1,1,NA,13,13,NA,13,LABOR-MARKETS;BUENOS-AIRES;GLOBALIZATION;POLITICS;INEQUALITY;ELECTIONS;DECLINE;UNREST,8,BUENOS-AIRES,DECLINE,ELECTIONS,2.0794415416798357,1,1,NA,NA,NA,Argentina,S. America,0
2013,ECON.MODELLING,1,1,NA,59,59,NA,59,NETWORK MODELS;PREDICTION,2,NETWORK MODELS,PREDICTION,NA,0.6931471805599453,1,1,NA,NA,NA,Argentina,S. America,1
2013,J.DEV.ECON.,1,3,NA,35,35,NA,35,SOCIAL-STRUCTURE;TRADE;MODEL;ADVANTAGE;NETWORKS;PRICES;IMPACT;ENTRY;FIRMS,9,ADVANTAGE,ENTRY,FIRMS,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,0
2013,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2013,J.MONETARY.ECON,1,1,NA,69,69,NA,69,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2013,REV.ECON.STAT.,1,3,NA,61,61,NA,61,RESTRICTIVENESS,1,RESTRICTIVENESS,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,1
2014,AMER.ECON.REV,2,2,0,118,59,52.32590180780452,96,SMALL OPEN-ECONOMY;BUSINESS CYCLES;EMERGING COUNTRIES;INTERNATIONAL-TRADE;INTERMEDIATE INPUTS;GAINS;TERMS;MARGINS;SCALE,9,BUSINESS CYCLES,EMERGING COUNTRIES,GAINS,2.1972245773362196,1,1,NA,NA,NA,Argentina,S. America,1
2014,EU.J.POL.ECON.,1,3,NA,46,46,NA,46,FOREIGN DIRECT-INVESTMENT;INTERNAL MARKET PROGRAM;UNIT-ROOT TESTS;PANEL-DATA;UNCERTAINTY;ENTRY,6,ENTRY,FOREIGN DIRECT-INVESTMENT,INTERNAL MARKET PROGRAM,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,1
2014,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2014,REV.ECON.STAT.,1,2,NA,60,60,NA,60,LOW-BIRTH-WEIGHT;HEALTH;PREGNANCY;CHILDHOOD;MORTALITY;STRESS;GROWTH,7,CHILDHOOD,GROWTH,HEALTH,1.945910149055313,1,1,NA,NA,NA,Argentina,S. America,0
2015,ECON.HIST.REV.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Argentina,S. America,NA
2015,ECONOMICS LETTERS,2,3,0,21,10.5,0.7071067811865476,11,MONETARY-POLICY;RATIONALITY;PREFERENCES,3,MONETARY-POLICY,PREFERENCES,RATIONALITY,1.0986122886681096,1,1,NA,NA,NA,Argentina,S. America,0
2015,J.DEV.ECON.,1,2,NA,33,33,NA,33,SECTOR,1,SECTOR,NA,NA,-0,1,1,NA,NA,NA,Argentina,S. America,0
2015,J.PUBLIC.ECON,1,2,NA,12,12,NA,12,FEDERAL-GRANTS;REPRESENTATION;ANOMALIES;TAXATION;REFORM;POWER;AID,7,AID,ANOMALIES,FEDERAL-GRANTS,1.945910149055313,1,1,NA,NA,NA,Argentina,S. America,0
2016,ECON.HIST.REV.,2,1,0,25,12.5,17.67766952966369,25,GROWTH;POLICY;ARGENTINA;QUALITY;EUROPE,5,ARGENTINA,EUROPE,GROWTH,1.6094379124341005,1,1,NA,NA,NA,Argentina,S. America,0
2016,ECON.MODELLING,4,2.5,1.2909944487358056,66,16.5,22.00757445365875,49,MONETARY-POLICY;INCOME-DISTRIBUTION;MARRIAGE;GROWTH;STOCK;INTERDEPENDENCE,6,GROWTH,INCOME-DISTRIBUTION,INTERDEPENDENCE,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,0
2016,ECONOMICS LETTERS,1,4,NA,8,8,NA,8,MONETARY-POLICY;LONG MEMORY;US INFLATION;PARAMETER;ONLINE;RATES,6,LONG MEMORY,MONETARY-POLICY,ONLINE,1.7917594692280547,1,1,NA,NA,NA,Argentina,S. America,0
