.,Freq,freq,cum_freq,rank,gini
TIME-SERIES,483,0.003142751176091667,0.23538750837741643,42,-0.0021290930807276176
VOLATILITY,482,0.0031362444448782265,0.23852375282229465,43,-0.0021290930807276176
EDUCATION,480,0.003123230982451346,0.241646983804746,44,-0.0021290930807276176
LIQUIDITY,477,0.003103710788811025,0.24475069459355703,45,-0.0021290930807276176
COUNTRIES,470,0.003058163670316943,0.24780885826387397,46,-0.0021290930807276176
HEALTH,462,0.0030061098206094206,0.2508149680844834,47,-0.0021290930807276176
EMPLOYMENT,461,0.00299960308939598,0.2538145711738794,48,-0.0021290930807276176
EARNINGS,457,0.0029735761645422187,0.2567881473384216,49,-0.0021290930807276176
PREFERENCES,457,0.0029735761645422187,0.2597617235029638,50,-0.0021290930807276176
DEBT,453,0.0029475492396884577,0.26270927274265227,51,-0.0021290930807276176
PANEL-DATA,452,0.0029410425084750173,0.2656503152511273,52,-0.0021290930807276176
PRICE,443,0.0028824819275540545,0.2685327971786814,53,-0.0021290930807276176
LABOR,394,0.0025636520980954797,0.2710964492767769,54,-0.0021290930807276176
ECONOMY,387,0.0025181049796013976,0.2736145542563783,55,-0.0021290930807276176
MONEY,385,0.002505091517174517,0.27611964577355286,56,-0.0021290930807276176
SELECTION,365,0.002374956892905711,0.2784946026664586,57,-0.0021290930807276176
TECHNOLOGY,359,0.002335916505625069,0.2808305191720837,58,-0.0021290930807276176
CREDIT,354,0.0023033828495578677,0.28313390202164157,59,-0.0021290930807276176
WAGES,353,0.0022968761183444274,0.285430778139986,60,-0.0021290930807276176
INNOVATION,351,0.0022838626559175466,0.2877146407959036,61,-0.0021290930807276176
RATES,350,0.0022773559247041063,0.2899919967206077,62,-0.0021290930807276176
INFERENCE,340,0.0022122886125697035,0.29220428533317744,63,-0.0021290930807276176
OWNERSHIP,337,0.0021927684189293824,0.29439705375210684,64,-0.0021290930807276176
CONTRACTS,335,0.0021797549565025017,0.29657680870860936,65,-0.0021290930807276176
COINTEGRATION,334,0.0021732482252890617,0.29875005693389844,66,-0.0021290930807276176
WELFARE,333,0.0021667414940756214,0.3009167984279741,67,-0.0021290930807276176
INSURANCE,332,0.002160234762862181,0.3030770331908363,68,-0.0021290930807276176
EXPECTATIONS,329,0.00214071456922186,0.30521774776005817,69,-0.0021290930807276176
CROSS-SECTION,327,0.0021277011067949796,0.30734544886685317,70,-0.0021290930807276176
TIME,327,0.0021277011067949796,0.30947314997364817,71,-0.0021290930807276176
INDUSTRY,326,0.0021211943755815393,0.3115943443492297,72,-0.0021290930807276176
BUSINESS CYCLES,321,0.0020886607195143374,0.3136830050687441,73,-0.0021290930807276176
SIZE,306,0.001991059751312733,0.31567406482005683,74,-0.0021290930807276176
INTERNATIONAL-TRADE,297,0.0019324991703917702,0.3176065639904486,75,-0.0021290930807276176
US,296,0.00192599243917833,0.31953255642962697,76,-0.0021290930807276176
GOVERNMENT,295,0.0019194857079648897,0.3214520421375919,77,-0.0021290930807276176
BUSINESS-CYCLE,292,0.0018999655143245688,0.32335200765191646,78,-0.0021290930807276176
WEALTH,286,0.0018609251270439268,0.3252129327789604,79,-0.0021290930807276176
MORTALITY,283,0.001841404933403606,0.32705433771236403,80,-0.0021290930807276176
LABOR-MARKET,282,0.0018348982021901658,0.3288892359145542,81,-0.0021290930807276176
MIGRATION,280,0.001821884739763285,0.3307111206543175,82,-0.0021290930807276176
IDENTIFICATION,274,0.0017828443524826433,0.3324939650068002,83,-0.0021290930807276176
ALLOCATION,272,0.0017698308900557626,0.33426379589685595,84,-0.0021290930807276176
SEARCH,272,0.0017698308900557626,0.33603362678691173,85,-0.0021290930807276176
LAW,264,0.0017177770403482403,0.33775140382726,86,-0.0021290930807276176
UNIT-ROOT,254,0.0016527097282138371,0.33940411355547384,87,-0.0021290930807276176
RULES,251,0.0016331895345735163,0.3410373030900474,88,-0.0021290930807276176
FAIRNESS,250,0.001626682803360076,0.34266398589340746,89,-0.0021290930807276176
STOCK RETURNS,249,0.0016201760721466358,0.3442841619655541,90,-0.0021290930807276176
POLITICAL-ECONOMY,248,0.0016136693409331954,0.3458978313064873,91,-0.0021290930807276176
CONSTRAINTS,246,0.0016006558785063149,0.34749848718499365,92,-0.0021290930807276176
RESEARCH-AND-DEVELOPMENT,238,0.0015486020287987924,0.34904708921379246,93,-0.0021290930807276176
TRANSMISSION,238,0.0015486020287987924,0.35059569124259127,94,-0.0021290930807276176
COOPERATION,235,0.0015290818351584715,0.35212477307774975,95,-0.0021290930807276176
ENGLAND,235,0.0015290818351584715,0.35365385491290824,96,-0.0021290930807276176
INTEREST-RATES,234,0.0015225751039450312,0.3551764300168533,97,-0.0021290930807276176
OUTPUT,234,0.0015225751039450312,0.35669900512079833,98,-0.0021290930807276176
ENTRY,232,0.0015095616415181504,0.3582085667623165,99,-0.0021290930807276176
PUBLIC-GOODS,232,0.0015095616415181504,0.35971812840383466,100,-0.0021290930807276176
BIAS,231,0.0015030549103047103,0.3612211833141394,101,-0.0021290930807276176
GAMES,229,0.0014900414478778296,0.3627112247620172,102,-0.0021290930807276176
FLUCTUATIONS,224,0.0014575077918106282,0.36416873255382787,103,-0.0021290930807276176
INTEGRATION,223,0.0014510010605971878,0.36561973361442507,104,-0.0021290930807276176
EUROPE,222,0.0014444943293837474,0.36706422794380883,105,-0.0021290930807276176
COST,220,0.001431480866956867,0.3684957088107657,106,-0.0021290930807276176
POPULATION,220,0.001431480866956867,0.3699271896777226,107,-0.0021290930807276176
CORRUPTION,219,0.0014249741357434266,0.37135216381346603,108,-0.0021290930807276176
DEMOCRACY,216,0.0014054539421031057,0.37275761775556915,109,-0.0021290930807276176
STABILITY,216,0.0014054539421031057,0.37416307169767227,110,-0.0021290930807276176
POWER,215,0.0013989472108896653,0.37556201890856195,111,-0.0021290930807276176
MOBILITY,214,0.001392440479676225,0.3769544593882382,112,-0.0021290930807276176
SPILLOVERS,208,0.0013534000923955832,0.3783078594806338,113,-0.0021290930807276176
REGRESSION,207,0.0013468933611821428,0.37965475284181593,114,-0.0021290930807276176
FISCAL-POLICY,206,0.0013403866299687027,0.38099513947178465,115,-0.0021290930807276176
OUTCOMES,206,0.0013403866299687027,0.38233552610175336,116,-0.0021290930807276176
WOMEN,204,0.001327373167541822,0.3836628992692952,117,-0.0021290930807276176
GENDER,202,0.0013143597051149414,0.38497725897441015,118,-0.0021290930807276176
POLITICS,202,0.0013143597051149414,0.3862916186795251,119,-0.0021290930807276176
REFORM,201,0.001307852973901501,0.3875994716534266,120,-0.0021290930807276176
POVERTY,200,0.0013013462426880607,0.3889008178961147,121,-0.0021290930807276176
CONVERGENCE,199,0.0012948395114746206,0.3901956574075893,122,-0.0021290930807276176
ORIGINS,199,0.0012948395114746206,0.39149049691906396,123,-0.0021290930807276176
EVOLUTION,198,0.0012883327802611802,0.39277882969932515,124,-0.0021290930807276176
FIRM,198,0.0012883327802611802,0.39406716247958634,125,-0.0021290930807276176
STOCK,197,0.0012818260490477398,0.3953489885286341,126,-0.0021290930807276176
FINANCE,188,0.0012232654681267772,0.3965722539967609,127,-0.0021290930807276176
DECISIONS,187,0.0012167587369133369,0.39778901273367423,128,-0.0021290930807276176
PROVISION,186,0.0012102520056998965,0.39899926473937414,129,-0.0021290930807276176
TAXES,183,0.0011907318120595756,0.4001899965514337,130,-0.0021290930807276176
HYPOTHESIS,180,0.0011712116184192547,0.401361208169853,131,-0.0021290930807276176
HISTORY,179,0.0011647048872058144,0.4025259130570588,132,-0.0021290930807276176
STATE,179,0.0011647048872058144,0.40369061794426464,133,-0.0021290930807276176
PERSISTENCE,178,0.001158198155992374,0.404848816100257,134,-0.0021290930807276176
TRENDS,177,0.0011516914247789339,0.40600050752503597,135,-0.0021290930807276176
WORK,177,0.0011516914247789339,0.4071521989498149,136,-0.0021290930807276176
LONG-RUN,175,0.0011386779623520531,0.408290876912167,137,-0.0021290930807276176
POLICIES,175,0.0011386779623520531,0.40942955487451904,138,-0.0021290930807276176
PROTECTION,174,0.001132171231138613,0.41056172610565767,139,-0.0021290930807276176
WORLD,174,0.001132171231138613,0.4116938973367963,140,-0.0021290930807276176
PARTICIPATION,173,0.0011256644999251726,0.41281956183672147,141,-0.0021290930807276176
CONFLICT,172,0.0011191577687117323,0.4139387196054332,142,-0.0021290930807276176
GLOBALIZATION,172,0.0011191577687117323,0.41505787737414496,143,-0.0021290930807276176
DESIGN,169,0.0010996375750714114,0.4161575149492164,144,-0.0021290930807276176
CHINA,168,0.001093130843857971,0.41725064579307436,145,-0.0021290930807276176
CRISIS,168,0.001093130843857971,0.41834377663693234,146,-0.0021290930807276176
ECONOMIES,167,0.0010866241126445309,0.4194304007495769,147,-0.0021290930807276176
FERTILITY,167,0.0010866241126445309,0.4205170248622214,148,-0.0021290930807276176
HETEROGENEITY,167,0.0010866241126445309,0.42160364897486596,149,-0.0021290930807276176
BENEFITS,166,0.0010801173814310905,0.42268376635629706,150,-0.0021290930807276176
CONSEQUENCES,166,0.0010801173814310905,0.42376388373772816,151,-0.0021290930807276176
CORPORATE GOVERNANCE,166,0.0010801173814310905,0.42484400111915926,152,-0.0021290930807276176
ADJUSTMENT,165,0.0010736106502176501,0.4259176117693769,153,-0.0021290930807276176
FOREIGN DIRECT-INVESTMENT,165,0.0010736106502176501,0.4269912224195946,154,-0.0021290930807276176
NETWORKS,165,0.0010736106502176501,0.42806483306981225,155,-0.0021290930807276176
EQUITY,164,0.0010671039190042098,0.42913193698881646,156,-0.0021290930807276176
FAMILY,164,0.0010671039190042098,0.4301990409078207,157,-0.0021290930807276176
AVERSION,163,0.0010605971877907696,0.43125963809561146,158,-0.0021290930807276176
DECLINE,163,0.0010605971877907696,0.43232023528340224,159,-0.0021290930807276176
GEOGRAPHY,161,0.001047583725363889,0.43336781900876614,160,-0.0021290930807276176
IMPACTS,161,0.001047583725363889,0.43441540273413004,161,-0.0021290930807276176
PANEL,161,0.001047583725363889,0.43546298645949394,162,-0.0021290930807276176
RISK-AVERSION,161,0.001047583725363889,0.43651057018485784,163,-0.0021290930807276176
FIELD EXPERIMENT,159,0.0010345702629370084,0.43754514044779486,164,-0.0021290930807276176
ENDOGENOUS GROWTH,157,0.0010215568005101277,0.438566697248305,165,-0.0021290930807276176
GOVERNANCE,156,0.0010150500692966875,0.4395817473176017,166,-0.0021290930807276176
TAX,156,0.0010150500692966875,0.4405967973868984,167,-0.0021290930807276176
DEVELOPING-COUNTRIES,155,0.0010085433380832471,0.44160534072498164,168,-0.0021290930807276176
MORAL HAZARD,155,0.0010085433380832471,0.4426138840630649,169,-0.0021290930807276176
MATTER,154,0.0010020366068698068,0.4436159206699347,170,-0.0021290930807276176
RECIPROCITY,154,0.0010020366068698068,0.44461795727680453,171,-0.0021290930807276176
DISCRIMINATION,152,9.890231444429263e-4,0.44560698042124747,172,-0.0021290930807276176
TRUST,152,9.890231444429263e-4,0.4465960035656904,173,-0.0021290930807276176
ENFORCEMENT,151,9.82516413229486e-4,0.4475785199789199,174,-0.0021290930807276176
TERM STRUCTURE,150,9.760096820160456e-4,0.44855452966093595,175,-0.0021290930807276176
CHILDREN,148,9.62996219589165e-4,0.4495175258805251,176,-0.0021290930807276176
UNIT-ROOT TESTS,147,9.564894883757247e-4,0.45047401536890086,177,-0.0021290930807276176
CAPITAL STRUCTURE,144,9.369692947354038e-4,0.45141098466363627,178,-0.0021290930807276176
ASSET PRICES,143,9.304625635219634e-4,0.45234144722715824,179,-0.0021290930807276176
PROPERTY-RIGHTS,143,9.304625635219634e-4,0.4532719097906802,180,-0.0021290930807276176
AGE,142,9.239558323085232e-4,0.45419586562298875,181,-0.0021290930807276176
LIFE-CYCLE,142,9.239558323085232e-4,0.4551198214552973,182,-0.0021290930807276176
LIBERALIZATION,141,9.174491010950829e-4,0.45603727055639237,183,-0.0021290930807276176
UTILITY,141,9.174491010950829e-4,0.45695471965748746,184,-0.0021290930807276176
VALUATION,141,9.174491010950829e-4,0.45787216875858255,185,-0.0021290930807276176
MANAGEMENT,140,9.109423698816425e-4,0.4587831111284642,186,-0.0021290930807276176
INCOME-DISTRIBUTION,139,9.044356386682023e-4,0.4596875467671324,187,-0.0021290930807276176
NEWS,138,8.979289074547619e-4,0.4605854756745872,188,-0.0021290930807276176
AUCTIONS,137,8.914221762413217e-4,0.4614768978508285,189,-0.0021290930807276176
COMMITMENT,137,8.914221762413217e-4,0.46236832002706985,190,-0.0021290930807276176
CRIME,137,8.914221762413217e-4,0.4632597422033112,191,-0.0021290930807276176
ELECTIONS,136,8.849154450278813e-4,0.46414465764833907,192,-0.0021290930807276176
PROSPECT-THEORY,136,8.849154450278813e-4,0.46502957309336695,193,-0.0021290930807276176
AGENCY COSTS,134,8.719019826010007e-4,0.46590147507596796,194,-0.0021290930807276176
REDISTRIBUTION,134,8.719019826010007e-4,0.466773377058569,195,-0.0021290930807276176
PRIVATE,132,8.588885201741202e-4,0.4676322655787431,196,-0.0021290930807276176
RISE,130,8.458750577472396e-4,0.46847814063649035,197,-0.0021290930807276176
CYCLES,129,8.393683265337992e-4,0.46931750896302415,198,-0.0021290930807276176
STATES,129,8.393683265337992e-4,0.47015687728955796,199,-0.0021290930807276176
IMMIGRATION,126,8.198481328934783e-4,0.47097672542245145,200,-0.0021290930807276176
INCOME INEQUALITY,126,8.198481328934783e-4,0.47179657355534493,201,-0.0021290930807276176
SOCIAL-SECURITY,126,8.198481328934783e-4,0.4726164216882384,202,-0.0021290930807276176
COORDINATION,125,8.13341401680038e-4,0.47342976308991847,203,-0.0021290930807276176
MONETARY,125,8.13341401680038e-4,0.4742431044915985,204,-0.0021290930807276176
MARRIAGE,123,8.003279392531574e-4,0.4750434324308517,205,-0.0021290930807276176
RETURN,123,8.003279392531574e-4,0.47584376037010484,206,-0.0021290930807276176
LOCATION,122,7.938212080397171e-4,0.47663758157814456,207,-0.0021290930807276176
TRADE LIBERALIZATION,122,7.938212080397171e-4,0.4774314027861843,208,-0.0021290930807276176
BANKING,121,7.873144768262768e-4,0.4782187172630106,209,-0.0021290930807276176
FLOWS,120,7.808077456128365e-4,0.4789995250086234,210,-0.0021290930807276176
LIFE,120,7.808077456128365e-4,0.47978033275423626,211,-0.0021290930807276176
ECONOMIC-DEVELOPMENT,119,7.743010143993962e-4,0.48055463376863566,212,-0.0021290930807276176
GOODS,119,7.743010143993962e-4,0.48132893478303507,213,-0.0021290930807276176
HETEROSKEDASTICITY,119,7.743010143993962e-4,0.48210323579743447,214,-0.0021290930807276176
INDIA,119,7.743010143993962e-4,0.4828775368118339,215,-0.0021290930807276176
BRITAIN,118,7.677942831859558e-4,0.48364533109501984,216,-0.0021290930807276176
RATIONAL-EXPECTATIONS,118,7.677942831859558e-4,0.4844131253782058,217,-0.0021290930807276176
STRATEGIES,118,7.677942831859558e-4,0.48518091966139176,218,-0.0021290930807276176
VARIABLES,118,7.677942831859558e-4,0.4859487139445777,219,-0.0021290930807276176
EXTERNALITIES,117,7.612875519725156e-4,0.48671000149655025,220,-0.0021290930807276176
MONOPOLISTIC COMPETITION,117,7.612875519725156e-4,0.48747128904852277,221,-0.0021290930807276176
REPUTATION,117,7.612875519725156e-4,0.4882325766004953,222,-0.0021290930807276176
DECISION,116,7.547808207590752e-4,0.4889873574212544,223,-0.0021290930807276176
EXCHANGE-RATES,116,7.547808207590752e-4,0.48974213824201346,224,-0.0021290930807276176
CRISES,115,7.48274089545635e-4,0.4904904123315591,225,-0.0021290930807276176
WAR,115,7.48274089545635e-4,0.49123868642110474,226,-0.0021290930807276176
ALTRUISM,114,7.417673583321947e-4,0.49198045377943694,227,-0.0021290930807276176
OLIGOPOLY,114,7.417673583321947e-4,0.49272222113776915,228,-0.0021290930807276176
EMPIRICAL-ANALYSIS,113,7.352606271187543e-4,0.4934574817648879,229,-0.0021290930807276176
TRANSITION,113,7.352606271187543e-4,0.49419274239200667,230,-0.0021290930807276176
ACHIEVEMENT,111,7.222471646918737e-4,0.49491498955669855,231,-0.0021290930807276176
ATTITUDES,111,7.222471646918737e-4,0.49563723672139043,232,-0.0021290930807276176
PAY,111,7.222471646918737e-4,0.4963594838860823,233,-0.0021290930807276176
PROGRAMS,111,7.222471646918737e-4,0.4970817310507742,234,-0.0021290930807276176
VARIANCE,111,7.222471646918737e-4,0.49780397821546607,235,-0.0021290930807276176
EXCHANGE-RATE,109,7.092337022649931e-4,0.49851321191773107,236,-0.0021290930807276176
EQUITY PREMIUM,108,7.027269710515528e-4,0.49921593888878263,237,-0.0021290930807276176
GRAVITY,108,7.027269710515528e-4,0.4999186658598342,238,-0.0021290930807276176
CONTAGION,107,6.962202398381125e-4,0.5006148860996723,239,-0.0021290930807276176
DECISION-MAKING,107,6.962202398381125e-4,0.5013111063395104,240,-0.0021290930807276176
PUNISHMENT,107,6.962202398381125e-4,0.5020073265793484,241,-0.0021290930807276176
COMMUNICATION,106,6.897135086246722e-4,0.5026970400879731,242,-0.0021290930807276176
DURATION,105,6.83206777411232e-4,0.5033802468653843,243,-0.0021290930807276176
SUBSTITUTION,105,6.83206777411232e-4,0.5040634536427955,244,-0.0021290930807276176
SYSTEM,105,6.83206777411232e-4,0.5047466604202067,245,-0.0021290930807276176
BUSINESS,104,6.767000461977916e-4,0.5054233604664045,246,-0.0021290930807276176
SYSTEMS,103,6.701933149843513e-4,0.5060935537813888,247,-0.0021290930807276176
WAGE INEQUALITY,103,6.701933149843513e-4,0.5067637470963731,248,-0.0021290930807276176
STOCK-MARKET,102,6.63686583770911e-4,0.507427433680144,249,-0.0021290930807276176
TRANSFERS,102,6.63686583770911e-4,0.5080911202639149,250,-0.0021290930807276176
CARE,101,6.571798525574707e-4,0.5087483001164723,251,-0.0021290930807276176
COMPENSATION,101,6.571798525574707e-4,0.5094054799690297,252,-0.0021290930807276176
SCALE,101,6.571798525574707e-4,0.5100626598215872,253,-0.0021290930807276176
VIOLENCE,99,6.441663901305901e-4,0.5107068262117177,254,-0.0021290930807276176
ADVERSE SELECTION,98,6.376596589171497e-4,0.5113444858706349,255,-0.0021290930807276176
POLARIZATION,98,6.376596589171497e-4,0.511982145529552,256,-0.0021290930807276176
CULTURE,97,6.311529277037095e-4,0.5126132984572557,257,-0.0021290930807276176
DIFFUSION,97,6.311529277037095e-4,0.5132444513849593,258,-0.0021290930807276176
EXCHANGE,97,6.311529277037095e-4,0.513875604312663,259,-0.0021290930807276176
PATTERNS,97,6.311529277037095e-4,0.5145067572403667,260,-0.0021290930807276176
STICKY PRICES,97,6.311529277037095e-4,0.5151379101680703,261,-0.0021290930807276176
OPTIMAL TAXATION,96,6.246461964902692e-4,0.5157625563645606,262,-0.0021290930807276176
ASYMMETRIC INFORMATION,95,6.181394652768289e-4,0.5163806958298374,263,-0.0021290930807276176
FINANCIAL DEVELOPMENT,95,6.181394652768289e-4,0.5169988352951141,264,-0.0021290930807276176
SPECIFICATION,95,6.181394652768289e-4,0.5176169747603909,265,-0.0021290930807276176
OPTIONS,94,6.116327340633886e-4,0.5182286074944543,266,-0.0021290930807276176
EMPIRICAL-EVIDENCE,93,6.051260028499482e-4,0.5188337334973042,267,-0.0021290930807276176
NUMBER,93,6.051260028499482e-4,0.5194388595001541,268,-0.0021290930807276176
REVOLUTION,93,6.051260028499482e-4,0.520043985503004,269,-0.0021290930807276176
CITIES,92,5.98619271636508e-4,0.5206426047746405,270,-0.0021290930807276176
CYCLICAL BEHAVIOR,92,5.98619271636508e-4,0.521241224046277,271,-0.0021290930807276176
LIQUIDITY CONSTRAINTS,92,5.98619271636508e-4,0.5218398433179136,272,-0.0021290930807276176
BANKS,91,5.921125404230676e-4,0.5224319558583366,273,-0.0021290930807276176
WAGE,91,5.921125404230676e-4,0.5230240683987596,274,-0.0021290930807276176
ACCESS,90,5.856058092096274e-4,0.5236096742079692,275,-0.0021290930807276176
FDI,90,5.856058092096274e-4,0.5241952800171789,276,-0.0021290930807276176
ELASTICITY,89,5.79099077996187e-4,0.524774379095175,277,-0.0021290930807276176
ACCOUNTABILITY,88,5.725923467827467e-4,0.5253469714419577,278,-0.0021290930807276176
WORKERS,88,5.725923467827467e-4,0.5259195637887405,279,-0.0021290930807276176
DISCRETION,87,5.660856155693065e-4,0.5264856494043098,280,-0.0021290930807276176
EXPENDITURE,87,5.660856155693065e-4,0.527051735019879,281,-0.0021290930807276176
OIL,87,5.660856155693065e-4,0.5276178206354483,282,-0.0021290930807276176
RENT-SEEKING,87,5.660856155693065e-4,0.5281839062510175,283,-0.0021290930807276176
STRUCTURAL-CHANGE,87,5.660856155693065e-4,0.5287499918665868,284,-0.0021290930807276176
TECHNOLOGICAL-CHANGE,87,5.660856155693065e-4,0.529316077482156,285,-0.0021290930807276176
MERGERS,86,5.595788843558661e-4,0.5298756563665119,286,-0.0021290930807276176
POLLUTION,86,5.595788843558661e-4,0.5304352352508678,287,-0.0021290930807276176
SELF-SELECTION,86,5.595788843558661e-4,0.5309948141352236,288,-0.0021290930807276176
AGRICULTURE,85,5.530721531424259e-4,0.531547886288366,289,-0.0021290930807276176
DISCLOSURE,85,5.530721531424259e-4,0.5321009584415084,290,-0.0021290930807276176
INVESTORS,85,5.530721531424259e-4,0.5326540305946508,291,-0.0021290930807276176
RETIREMENT,85,5.530721531424259e-4,0.5332071027477931,292,-0.0021290930807276176
DEPENDENCE,84,5.465654219289855e-4,0.5337536681697221,293,-0.0021290930807276176
ELASTICITIES,84,5.465654219289855e-4,0.5343002335916511,294,-0.0021290930807276176
INCREASING RETURNS,83,5.400586907155453e-4,0.5348402922823666,295,-0.0021290930807276176
PERSPECTIVE,83,5.400586907155453e-4,0.5353803509730821,296,-0.0021290930807276176
PROGRAM,83,5.400586907155453e-4,0.5359204096637976,297,-0.0021290930807276176
DIVERSIFICATION,82,5.335519595021049e-4,0.5364539616232997,298,-0.0021290930807276176
EQUILIBRIA,82,5.335519595021049e-4,0.5369875135828018,299,-0.0021290930807276176
GAINS,82,5.335519595021049e-4,0.5375210655423039,300,-0.0021290930807276176
KNOWLEDGE,82,5.335519595021049e-4,0.538054617501806,301,-0.0021290930807276176
MONOPOLY,82,5.335519595021049e-4,0.5385881694613082,302,-0.0021290930807276176
ASSET RETURNS,81,5.270452282886646e-4,0.5391152146895968,303,-0.0021290930807276176
AFRICA,80,5.205384970752243e-4,0.539635753186672,304,-0.0021290930807276176
EMISSIONS,80,5.205384970752243e-4,0.5401562916837472,305,-0.0021290930807276176
FRICTIONS,80,5.205384970752243e-4,0.5406768301808225,306,-0.0021290930807276176
ARBITRAGE,79,5.14031765861784e-4,0.5411908619466842,307,-0.0021290930807276176
EQUILIBRIUM UNEMPLOYMENT,79,5.14031765861784e-4,0.5417048937125459,308,-0.0021290930807276176
EXPOSURE,79,5.14031765861784e-4,0.5422189254784077,309,-0.0021290930807276176
RESPONSES,79,5.14031765861784e-4,0.5427329572442694,310,-0.0021290930807276176
STOCK-PRICES,79,5.14031765861784e-4,0.5432469890101311,311,-0.0021290930807276176
INDUSTRIAL-REVOLUTION,78,5.075250346483438e-4,0.5437545140447795,312,-0.0021290930807276176
POOR,78,5.075250346483438e-4,0.5442620390794278,313,-0.0021290930807276176
RACE,78,5.075250346483438e-4,0.5447695641140762,314,-0.0021290930807276176
DECENTRALIZATION,77,5.010183034349034e-4,0.545270582417511,315,-0.0021290930807276176
SECTOR,77,5.010183034349034e-4,0.5457716007209459,316,-0.0021290930807276176
DEFAULT,76,4.945115722214631e-4,0.5462661122931673,317,-0.0021290930807276176
STOCHASTIC VOLATILITY,76,4.945115722214631e-4,0.5467606238653888,318,-0.0021290930807276176
TECHNICAL CHANGE,76,4.945115722214631e-4,0.5472551354376103,319,-0.0021290930807276176
CAUSALITY,75,4.880048410080228e-4,0.5477431402786183,320,-0.0021290930807276176
HABIT FORMATION,75,4.880048410080228e-4,0.5482311451196262,321,-0.0021290930807276176
HAPPINESS,75,4.880048410080228e-4,0.5487191499606342,322,-0.0021290930807276176
HEALTH-INSURANCE,75,4.880048410080228e-4,0.5492071548016422,323,-0.0021290930807276176
PRODUCTIVITY GROWTH,75,4.880048410080228e-4,0.5496951596426501,324,-0.0021290930807276176
RIGHTS,75,4.880048410080228e-4,0.5501831644836581,325,-0.0021290930807276176
DEFICITS,74,4.814981097945825e-4,0.5506646625934527,326,-0.0021290930807276176
EURO AREA,74,4.814981097945825e-4,0.5511461607032473,327,-0.0021290930807276176
